                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1849,                 4.8649,                 1.1769,                0.00379,                0.37591,                 0.0033,                0.00137,                 1.9106,                  5.377,                 1.0972,             0.00065574,             0.00065574,             0.00065574
                      2,                 2.0105,                 2.9679,                 1.1065,                0.50205,                0.49392,                0.39286,                0.16733,                 1.9959,                 2.8134,                 1.2721,              0.0013191,              0.0013191,              0.0013191
                      3,                 1.9027,                 2.3287,                 1.1195,                0.10922,                 0.3017,                0.06471,                0.02604,                 2.1668,                 4.7226,                 1.3272,              0.0019792,              0.0019792,              0.0019792
                      4,                 1.9205,                 1.9446,                 1.1243,                0.57809,                0.44526,                0.46968,                 0.1602,                 2.1977,                 2.1343,                 1.3084,              0.0019852,              0.0019852,              0.0019852
                      5,                 1.9178,                 1.6782,                 1.1306,                0.60038,                0.58637,                0.56501,                0.23045,                 1.9823,                 1.7626,                 1.2013,              0.0019852,              0.0019852,              0.0019852
                      6,                 1.8715,                  1.484,                 1.0854,                0.60154,                0.58029,                 0.5863,                0.26377,                 1.9455,                 1.5595,                 1.2178,              0.0019802,              0.0019802,              0.0019802
                      7,                 1.9484,                 1.4686,                 1.1007,                0.63449,                  0.661,                0.62885,                0.29642,                 1.8585,                 1.4893,                 1.2034,              0.0019753,              0.0019753,              0.0019753
                      8,                 1.8012,                 1.4115,                 1.0983,                0.66505,                0.66666,                 0.6761,                0.33346,                 1.8507,                  1.294,                 1.1861,              0.0019703,              0.0019703,              0.0019703
                      9,                 1.7754,                 1.3225,                 1.0978,                0.63781,                0.59732,                0.58988,                0.26655,                 1.9959,                 1.5633,                 1.2467,              0.0019654,              0.0019654,              0.0019654
                     10,                 1.7915,                 1.4225,                 1.0623,                0.59309,                0.57786,                0.56171,                0.26212,                 1.8996,                 1.5769,                  1.203,              0.0019604,              0.0019604,              0.0019604
                     11,                  1.744,                 1.2732,                  1.048,                0.67711,                 0.6764,                0.65518,                0.30401,                 1.8433,                 1.3793,                 1.1746,              0.0019555,              0.0019555,              0.0019555
                     12,                 1.7606,                 1.3095,                 1.0536,                0.69525,                0.68276,                0.70461,                0.33373,                 1.8344,                 1.2487,                 1.1582,              0.0019505,              0.0019505,              0.0019505
                     13,                 1.7557,                 1.2417,                  1.053,                0.70442,                0.67554,                0.72077,                 0.3548,                 1.7748,                 1.2514,                  1.142,              0.0019456,              0.0019456,              0.0019456
                     14,                 1.7336,                 1.1892,                 1.0404,                0.67673,                0.55474,                0.58262,                 0.2958,                 1.8597,                 1.4254,                 1.1837,              0.0019406,              0.0019406,              0.0019406
                     15,                 1.7672,                 1.2732,                 1.0692,                0.67083,                0.62774,                0.67286,                0.32182,                 1.8007,                 1.2881,                 1.1506,              0.0019357,              0.0019357,              0.0019357
                     16,                 1.7145,                 1.2052,                 1.0432,                0.69364,                0.70925,                0.72988,                0.37906,                 1.6859,                 1.2346,                 1.1286,              0.0019307,              0.0019307,              0.0019307
                     17,                 1.6876,                 1.1731,                 1.0387,                 0.7025,                0.66645,                0.70629,                0.33961,                 1.8128,                 1.2044,                 1.1571,              0.0019258,              0.0019258,              0.0019258
                     18,                 1.7273,                 1.1911,                 1.0581,                0.67881,                0.67762,                0.68881,                0.35003,                 1.8002,                 1.2323,                 1.1593,              0.0019208,              0.0019208,              0.0019208
                     19,                 1.7423,                 1.1639,                 1.0594,                0.70126,                0.64964,                0.67998,                0.31965,                  1.924,                 1.2638,                 1.1985,              0.0019159,              0.0019159,              0.0019159
                     20,                 1.7178,                 1.1804,                 1.0408,                0.62698,                0.55618,                0.54853,                0.26641,                 1.8517,                 1.9281,                 1.2028,              0.0019109,              0.0019109,              0.0019109
                     21,                 1.7077,                   1.21,                 1.0291,                0.63832,                0.56083,                0.57586,                 0.2806,                   1.86,                 1.6112,                 1.2335,               0.001906,               0.001906,               0.001906
                     22,                 1.6688,                 1.1461,                 1.0262,                0.70659,                0.68849,                0.73462,                0.36814,                 1.7905,                 1.2038,                 1.1984,               0.001901,               0.001901,               0.001901
                     23,                  1.687,                 1.1151,                 1.0267,                0.71832,                0.70316,                0.72535,                0.35861,                 1.8124,                 1.2496,                 1.2106,              0.0018961,              0.0018961,              0.0018961
                     24,                 1.6794,                 1.1485,                 1.0279,                0.66942,                0.67397,                0.69659,                 0.3503,                 1.7583,                 1.2954,                 1.1666,              0.0018911,              0.0018911,              0.0018911
                     25,                 1.6511,                  1.149,                 1.0282,                0.70975,                0.71533,                 0.7457,                0.38706,                 1.7456,                 1.1548,                 1.1676,              0.0018862,              0.0018862,              0.0018862
                     26,                 1.6462,                 1.0848,                 1.0427,                0.73039,                0.73723,                0.75901,                0.38427,                  1.754,                 1.1458,                 1.1549,              0.0018812,              0.0018812,              0.0018812
                     27,                 1.7001,                 1.1653,                  1.029,                0.71036,                0.67727,                0.70261,                0.34876,                 1.7655,                 1.3237,                  1.145,              0.0018763,              0.0018763,              0.0018763
                     28,                 1.6478,                 1.1253,                 1.0294,                 0.7164,                0.68613,                0.73814,                0.36919,                 1.7581,                 1.1607,                  1.183,              0.0018713,              0.0018713,              0.0018713
                     29,                 1.6422,                 1.1041,                 1.0303,                0.73193,                 0.7075,                0.73054,                0.36527,                  1.781,                 1.1912,                  1.187,              0.0018663,              0.0018663,              0.0018663
                     30,                 1.6412,                 1.0863,                 1.0273,                0.70154,                0.67198,                0.70581,                0.37056,                  1.714,                 1.1972,                 1.1295,              0.0018614,              0.0018614,              0.0018614
                     31,                 1.7091,                 1.1417,                 1.0197,                0.71563,                0.67397,                 0.7253,                0.37079,                 1.7402,                 1.3261,                 1.1662,              0.0018564,              0.0018564,              0.0018564
                     32,                 1.6376,                 1.1212,                 1.0336,                0.69546,                 0.6545,                0.69047,                0.34845,                 1.8678,                 1.2325,                 1.2109,              0.0018515,              0.0018515,              0.0018515
                     33,                 1.6405,                 1.1123,                 1.0313,                 0.7197,                0.73723,                0.74551,                0.36339,                 1.7607,                 1.2691,                 1.1458,              0.0018465,              0.0018465,              0.0018465
                     34,                 1.6278,                 1.1511,                 1.0289,                0.73324,                0.68735,                0.73179,                  0.373,                 1.7201,                 1.2243,                 1.1373,              0.0018416,              0.0018416,              0.0018416
                     35,                 1.6188,                 1.0961,                0.99688,                0.71557,                 0.7129,                0.74754,                0.39076,                 1.7274,                 1.1225,                 1.1382,              0.0018367,              0.0018367,              0.0018367
                     36,                 1.6365,                 1.0866,                 1.0397,                0.75564,                0.70195,                0.75845,                0.39396,                 1.7497,                 1.1198,                 1.1685,              0.0018317,              0.0018317,              0.0018317
                     37,                 1.6218,                 1.0692,                 1.0236,                0.69263,                0.68978,                0.71573,                0.36739,                 1.7935,                 1.1412,                  1.177,              0.0018267,              0.0018267,              0.0018267
                     38,                 1.6564,                 1.1094,                 1.0334,                 0.7452,                0.70681,                0.74472,                0.38092,                 1.7524,                 1.1517,                 1.1509,              0.0018218,              0.0018218,              0.0018218
                     39,                  1.628,                 1.1062,                 0.9798,                0.69884,                0.68316,                0.71406,                0.37231,                 1.7032,                 1.2556,                  1.125,              0.0018168,              0.0018168,              0.0018168
                     40,                 1.6121,                 1.0909,                 1.0247,                0.67307,                0.61922,                0.63327,                0.32636,                 1.7506,                 1.6671,                 1.1516,              0.0018119,              0.0018119,              0.0018119
                     41,                 1.6008,                 1.0711,                  1.018,                0.75283,                 0.6929,                0.76102,                0.39352,                 1.7399,                 1.0968,                 1.1421,              0.0018069,              0.0018069,              0.0018069
                     42,                 1.6399,                 1.0924,                 1.0389,                0.73024,                0.72451,                0.75704,                   0.38,                 1.7389,                 1.1056,                 1.1357,               0.001802,               0.001802,               0.001802
                     43,                 1.5889,                 1.0253,                 1.0194,                0.73625,                0.71995,                0.74986,                0.38792,                 1.7537,                 1.1436,                 1.1577,              0.0017971,              0.0017971,              0.0017971
                     44,                 1.6478,                  1.065,                 1.0107,                0.69814,                0.64151,                0.65613,                0.29882,                 1.9017,                 1.4482,                 1.1873,              0.0017921,              0.0017921,              0.0017921
                     45,                 1.6193,                 1.0423,                  1.019,                0.73378,                0.71088,                0.75743,                0.38314,                 1.7586,                 1.1603,                 1.1369,              0.0017872,              0.0017872,              0.0017872
                     46,                 1.5907,                 1.0061,                0.99535,                0.71519,                0.72141,                0.75535,                0.40238,                 1.6904,                 1.0953,                 1.1434,              0.0017822,              0.0017822,              0.0017822
                     47,                 1.5931,                 1.0373,                 1.0039,                0.72917,                0.70419,                0.74825,                0.38234,                 1.7506,                 1.1642,                 1.1723,              0.0017772,              0.0017772,              0.0017772
                     48,                  1.594,                 1.0207,                 1.0041,                0.76323,                0.74509,                0.78662,                0.41992,                 1.6988,                 1.0971,                 1.1491,              0.0017723,              0.0017723,              0.0017723
                     49,                 1.6221,                 1.1006,                 1.0048,                0.75789,                0.72993,                0.78561,                0.40755,                  1.715,                 1.1009,                 1.1257,              0.0017674,              0.0017674,              0.0017674
