                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1538,                 4.7421,                  1.169,                0.00547,                0.30657,                 0.0684,                0.02976,                 1.9132,                 5.0914,                 1.1087,             0.00065574,             0.00065574,             0.00065574
                      2,                 1.9593,                 2.8992,                 1.0953,                0.05383,                0.54258,                0.04682,                0.01872,                 2.0056,                 16.396,                 1.2307,              0.0013137,              0.0013137,              0.0013137
                      3,                  1.916,                 2.2518,                 1.1118,                0.65203,                0.56934,                0.61221,                0.27805,                 1.9159,                 1.9981,                 1.2659,              0.0019628,              0.0019628,              0.0019628
                      4,                 1.9046,                 1.8738,                 1.1168,                0.59319,                0.50365,                0.50792,                0.19095,                 2.0396,                 2.0542,                 1.2166,              0.0019604,              0.0019604,              0.0019604
                      5,                 1.8701,                 1.6218,                 1.1168,                0.61329,                0.59002,                 0.5639,                0.24028,                 1.9596,                 1.6181,                 1.2452,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.8368,                 1.4452,                 1.0881,                 0.6674,                0.64447,                0.65786,                0.28498,                 1.9835,                 1.3854,                 1.2848,              0.0019472,              0.0019472,              0.0019472
                      7,                  1.857,                 1.4093,                 1.0843,                0.63772,                 0.5996,                0.59343,                 0.2737,                 1.8578,                 1.5384,                 1.1759,               0.001934,               0.001934,               0.001934
                      8,                 1.8384,                  1.394,                 1.1104,                0.67386,                0.61557,                0.65084,                0.31147,                 1.8357,                 1.3917,                 1.1844,              0.0019208,              0.0019208,              0.0019208
                      9,                   1.78,                 1.2888,                 1.1112,                0.66926,                0.64743,                 0.6386,                0.27979,                  1.931,                 1.6084,                 1.2175,              0.0019076,              0.0019076,              0.0019076
                     10,                 1.7773,                 1.3348,                 1.0643,                0.68039,                0.62414,                 0.6479,                 0.3118,                 1.8376,                 1.3345,                  1.189,              0.0018944,              0.0018944,              0.0018944
                     11,                 1.7247,                 1.2336,                 1.0474,                0.68288,                0.68248,                0.66915,                0.31894,                 1.8104,                 1.2701,                 1.1839,              0.0018812,              0.0018812,              0.0018812
                     12,                 1.7405,                 1.2253,                 1.0564,                  0.723,                0.67275,                0.70593,                0.33901,                  1.834,                  1.203,                 1.1872,               0.001868,               0.001868,               0.001868
                     13,                 1.7275,                 1.1726,                 1.0594,                0.72374,                0.69343,                0.71937,                0.35243,                 1.7419,                 1.2803,                 1.1812,              0.0018548,              0.0018548,              0.0018548
                     14,                 1.7193,                   1.15,                 1.0463,                 0.6959,                0.68762,                0.70218,                0.33878,                 1.9068,                 1.2742,                 1.2022,              0.0018416,              0.0018416,              0.0018416
                     15,                 1.7376,                 1.1969,                 1.0775,                0.63703,                0.65572,                0.67916,                0.31707,                  1.824,                 1.4223,                 1.1784,              0.0018284,              0.0018284,              0.0018284
                     16,                 1.6993,                 1.1758,                 1.0468,                 0.6874,                0.68856,                0.70563,                0.35289,                 1.7499,                 1.2119,                  1.143,              0.0018152,              0.0018152,              0.0018152
                     17,                 1.6695,                 1.1112,                 1.0406,                0.69881,                 0.6983,                  0.721,                0.36479,                 1.7942,                 1.1776,                 1.1684,               0.001802,               0.001802,               0.001802
