fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.39129,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.0,0.00752,0.00962,0.95932,0.0005,3.02663,0.85872,7.90977,0.47219,1.5155,0.01717,0.70377,0.44474,0.0,0.1,0.5,0.0,0.0,0.0,0.47689,0.88384,0.0,0.0
0.35861,0.012,0.00674,0.86428,0.00052,2.03033,0.77332,7.7364,0.37349,1.47716,0.01545,0.68102,0.34306,0.0,0.09429,0.56803,0.0,0.0,0.0,0.48682,0.8763,0.0,0.0
0.38101,0.01046,0.00903,0.90005,0.00053,2.5045,0.85403,7.5,0.54429,1.55199,0.01481,0.64659,0.39205,0.0,0.09542,0.5,0.0,0.0,0.0,0.6315,1.0,0.0,0.0
0.39209,0.00742,0.01,0.85083,0.00044,3.36501,0.75654,7.5,0.37316,1.13864,0.01518,0.8466,0.50635,0.0,0.1349,0.46241,0.0,0.0,0.0,0.42959,1.0,0.0,0.0
0.36218,0.01203,0.00671,0.86581,0.00052,2.01512,0.77478,7.52983,0.37349,1.49422,0.01551,0.67768,0.33726,0.0,0.09318,0.57108,0.0,0.0,0.0,0.48855,0.89499,0.0,0.0
0.36839,0.00975,0.01005,0.90005,0.00052,2.16196,0.80467,7.50372,0.43349,1.39683,0.01258,0.56789,0.40873,0.0,0.13131,0.5,0.0,0.0,0.0,0.73667,1.0,0.0,0.0
0.39912,0.01049,0.01023,0.93803,0.00052,3.08082,0.92942,7.11247,0.52244,1.17825,0.01343,0.60298,0.33322,0.0,0.10845,0.60029,0.0,0.0,0.0,0.60626,1.0,0.0,0.0
0.37272,0.00991,0.011,0.95034,0.00047,3.14659,0.82252,7.24549,0.53203,1.17128,0.01358,0.5407,0.32934,0.0,0.10845,0.60029,0.0,0.0,0.0,0.60626,1.0,0.0,0.0
0.39069,0.00736,0.01,0.84965,0.00044,3.33713,0.75267,7.36684,0.37713,1.13832,0.01508,0.8245,0.50892,0.0,0.13664,0.46219,0.0,0.0,0.0,0.41923,0.99698,0.0,0.0
