fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.0,0.01008,0.01098,0.937,0.0005,2.70794,0.68991,7.73942,0.5,1.61474,0.015,0.7,0.3948,0.0,0.11207,0.3746,0.0,0.0,0.0,0.49143,1.0,0.0,0.0
0.0,0.01068,0.00859,0.98,0.00038,1.93298,0.6635,7.73942,0.37515,1.55184,0.01724,0.70348,0.40223,0.0,0.10888,0.33896,0.0,0.0,0.0,0.55188,1.0,0.0,0.0
0.0,0.00984,0.01107,0.93567,0.00049,2.63076,0.67428,7.73942,0.47829,1.61474,0.01764,0.7,0.3948,0.0,0.10079,0.37143,0.0,0.0,0.0,0.45449,1.0,0.0,0.0
0.0,0.0101,0.00996,0.93673,0.0005,3.0,0.8,7.53534,0.49327,1.49076,0.01477,0.70566,0.40072,0.0,0.1,0.48233,0.0,0.0,0.0,0.51877,1.0,0.0,0.0
0.0,0.00846,0.01091,0.93673,0.0005,2.89942,0.77972,6.94733,0.49416,1.53571,0.01408,0.64247,0.40584,0.0,0.0878,0.54285,0.0,0.0,0.0,0.54939,1.0,0.0,0.0
0.0,0.01,0.00987,0.9549,0.0005,2.90918,0.81055,7.41996,0.49999,1.48648,0.015,0.72916,0.37517,0.0,0.10013,0.51943,0.0,0.0,0.0,0.50288,1.0,0.0,0.0
0.0,0.00984,0.01107,0.9355,0.00049,2.62911,0.67358,7.73722,0.47855,1.61421,0.01764,0.70027,0.39447,0.0,0.10071,0.37143,0.0,0.0,0.0,0.45449,1.0,0.0,0.0
0.0,0.01,0.01026,0.937,0.00054,3.61032,0.79818,7.5,0.50193,1.46253,0.015,0.6845,0.30374,0.0,0.1,0.58744,0.0,0.0,0.0,0.46174,0.78419,0.0,0.0
0.0,0.00829,0.01225,0.92706,0.00071,2.45125,0.8872,7.43255,0.51879,1.56692,0.01477,0.63053,0.3639,0.0,0.10151,0.52442,0.0,0.0,0.0,0.52738,1.0,0.0,0.0
0.0,0.00471,0.0126,0.98,0.0005,2.55254,0.794,7.31116,0.55659,1.5,0.015,0.7,0.43384,0.0,0.1276,0.5,0.0,0.0,0.0,0.37667,1.0,0.0,0.0
0.0,0.00998,0.00997,0.93542,0.0005,2.99342,0.79433,7.51703,0.5,1.50544,0.01498,0.70128,0.39911,0.0,0.1,0.49863,0.0,0.0,0.0,0.49622,1.0,0.0,0.0
0.0,0.0098,0.01027,0.93433,0.00054,2.91602,0.77539,7.31804,0.50616,1.69378,0.015,0.6473,0.40711,0.0,0.10226,0.56206,0.0,0.0,0.0,0.52154,0.94175,0.0,0.0
0.0,0.0101,0.00918,0.93673,0.00054,2.61629,0.71632,7.53534,0.56508,1.27932,0.01477,0.79381,0.40072,0.0,0.11798,0.46518,0.0,0.0,0.0,0.33056,0.83466,0.0,0.0
0.0,0.01117,0.00952,0.96255,0.00041,2.84641,0.8,7.17895,0.50325,1.54035,0.01433,0.65672,0.36999,0.0,0.10615,0.42884,0.0,0.0,0.0,0.53594,1.0,0.0,0.0
0.0,0.01086,0.00908,0.91028,0.0005,2.85867,0.73619,8.65398,0.54016,1.26441,0.01477,0.70566,0.40427,0.0,0.10041,0.50406,0.0,0.0,0.0,0.51877,1.0,0.0,0.0
0.0,0.0099,0.01108,0.92968,0.0005,2.67214,0.6798,7.7907,0.49602,1.59852,0.0151,0.7,0.39976,0.0,0.11207,0.38092,0.0,0.0,0.0,0.49118,1.0,0.0,0.0
0.0,0.01433,0.00833,0.96527,0.00045,3.03943,0.7659,8.72528,0.42179,1.63616,0.0124,0.65672,0.36999,0.0,0.12428,0.45158,0.0,0.0,0.0,0.56183,1.0,0.0,0.0
