                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.838,                 14.113,                 1.3879,                0.33781,                0.22311,                0.20091,                0.08995,                 2.0493,                 4.2293,                 1.9496,              0.0033281,              0.0033281,              0.0033281
                      2,                 1.8411,                 3.3927,                 1.4407,                0.40264,                0.17657,                0.15642,                0.07961,                 2.6496,                 5.8654,                 2.4371,              0.0065955,              0.0065955,              0.0065955
                      3,                 2.1399,                 3.3873,                 1.7066,                0.38625,                0.19904,                 0.2069,                0.09063,                 2.1249,                 3.3261,                 2.1024,              0.0097969,              0.0097969,              0.0097969
                      4,                 2.1551,                 3.1995,                 1.8237,                0.38188,                0.38363,                0.32827,                0.13374,                 2.2553,                 2.6165,                 2.1926,               0.009703,               0.009703,               0.009703
                      5,                 2.2026,                 3.1613,                 1.8526,                0.55185,                0.16693,                0.18247,                0.08906,                 2.3597,                 4.1115,                  2.238,               0.009703,               0.009703,               0.009703
                      6,                  2.024,                  2.792,                 1.7702,                 0.5597,                0.43018,                0.42108,                0.19904,                 2.1478,                 2.9948,                 2.0473,               0.009604,               0.009604,               0.009604
                      7,                 1.9802,                 2.6327,                  1.719,                0.51089,                 0.5013,                0.47375,                0.22516,                 2.0133,                 2.1583,                 2.0642,               0.009505,               0.009505,               0.009505
                      8,                 1.9391,                  2.515,                 1.6931,                0.70321,                0.60353,                 0.6399,                0.33009,                 1.8183,                 1.9807,                 1.8741,               0.009406,               0.009406,               0.009406
                      9,                 1.8914,                 2.3621,                 1.6374,                0.69522,                0.60193,                0.63847,                0.32779,                 1.7966,                 1.8659,                 1.8427,               0.009307,               0.009307,               0.009307
                     10,                 1.8548,                 2.2691,                 1.6427,                 0.6775,                0.54627,                0.55738,                0.27442,                 1.8948,                 1.9605,                 1.9419,               0.009208,               0.009208,               0.009208
                     11,                 1.8463,                 2.3306,                 1.6029,                0.65352,                0.57945,                0.61209,                0.32051,                 1.7917,                 1.7802,                 1.7976,               0.009109,               0.009109,               0.009109
                     12,                 1.8439,                 2.2127,                 1.6259,                0.73081,                0.55217,                 0.6405,                0.33932,                 1.7552,                 2.0005,                 1.8074,                0.00901,                0.00901,                0.00901
                     13,                  1.814,                 2.1615,                 1.5857,                0.71143,                0.55859,                0.59525,                0.31733,                 1.7378,                 2.1982,                 1.7858,               0.008911,               0.008911,               0.008911
                     14,                  1.844,                 2.1208,                 1.5997,                0.66374,                0.63242,                0.66502,                0.36346,                 1.6796,                  1.688,                 1.7515,               0.008812,               0.008812,               0.008812
                     15,                 1.7234,                 2.0793,                 1.5182,                0.74174,                0.61315,                0.68386,                0.39352,                 1.7606,                  1.768,                  1.842,               0.008713,               0.008713,               0.008713
                     16,                 1.7841,                 2.0912,                 1.5605,                0.70006,                0.59711,                0.65697,                0.36985,                 1.6731,                  1.629,                 1.7779,               0.008614,               0.008614,               0.008614
                     17,                 1.7503,                 1.9947,                 1.5496,                 0.6817,                0.60032,                0.64809,                0.37053,                 1.6783,                 1.6977,                 1.7526,               0.008515,               0.008515,               0.008515
                     18,                  1.686,                 2.0075,                 1.4801,                0.70024,                0.68058,                0.70005,                0.38707,                 1.6836,                 1.5231,                 1.7652,               0.008416,               0.008416,               0.008416
                     19,                 1.7583,                 2.0317,                 1.5256,                0.73759,                0.61958,                 0.6654,                0.36336,                 1.6792,                 1.7397,                 1.7584,               0.008317,               0.008317,               0.008317
                     20,                 1.7503,                 2.0504,                 1.5257,                0.70619,                0.59551,                0.66722,                 0.3547,                 1.7288,                 1.7286,                 1.7654,               0.008218,               0.008218,               0.008218
                     21,                   1.67,                 1.8507,                 1.4897,                0.75325,                0.68218,                0.72063,                0.40005,                 1.6723,                 1.4467,                 1.7809,               0.008119,               0.008119,               0.008119
                     22,                 1.6955,                 1.9287,                 1.4894,                0.72842,                0.63884,                0.69505,                0.37653,                 1.7384,                 1.6583,                 1.7962,                0.00802,                0.00802,                0.00802
                     23,                 1.6928,                 1.9541,                 1.5125,                0.75057,                0.61798,                0.68656,                0.38046,                 1.6485,                 1.6574,                 1.7443,               0.007921,               0.007921,               0.007921
                     24,                 1.6653,                 1.8068,                 1.4925,                0.77679,                0.70384,                  0.754,                0.43386,                 1.6488,                 1.3864,                 1.7324,               0.007822,               0.007822,               0.007822
                     25,                 1.6417,                 1.8697,                 1.4692,                0.76302,                0.69823,                0.76638,                0.43545,                  1.662,                  1.372,                 1.7646,               0.007723,               0.007723,               0.007723
                     26,                 1.6691,                 1.7888,                 1.4781,                0.77168,                0.69021,                0.73882,                0.41999,                  1.679,                 1.4972,                  1.738,               0.007624,               0.007624,               0.007624
                     27,                 1.6202,                 1.8484,                 1.4627,                0.78909,                0.67262,                0.74208,                0.42476,                 1.6253,                 1.4623,                 1.7362,               0.007525,               0.007525,               0.007525
                     28,                 1.6543,                 1.8111,                 1.4769,                0.77352,                0.68539,                0.74612,                0.43351,                 1.6178,                 1.4242,                 1.7008,               0.007426,               0.007426,               0.007426
                     29,                 1.6292,                 1.7588,                 1.4533,                0.80378,                0.69041,                0.75689,                0.43735,                 1.6513,                 1.3169,                 1.7435,               0.007327,               0.007327,               0.007327
                     30,                  1.634,                 1.7869,                 1.4289,                0.80155,                0.70667,                0.77454,                0.44531,                 1.6421,                 1.3485,                 1.7206,               0.007228,               0.007228,               0.007228
                     31,                 1.5814,                  1.752,                 1.4033,                0.81082,                0.67576,                0.75887,                0.42998,                 1.6404,                 1.3077,                 1.7019,               0.007129,               0.007129,               0.007129
                     32,                 1.6193,                 1.7883,                 1.4367,                0.79216,                0.69132,                0.75114,                0.44175,                 1.6065,                 1.3306,                 1.7001,                0.00703,                0.00703,                0.00703
                     33,                 1.5601,                 1.6973,                 1.3943,                0.80279,                0.64045,                0.75958,                 0.4542,                 1.6261,                  1.326,                 1.7394,               0.006931,               0.006931,               0.006931
                     34,                 1.5954,                 1.7527,                 1.4336,                0.75381,                0.71265,                0.76981,                0.45586,                 1.5454,                 1.3044,                 1.6301,               0.006832,               0.006832,               0.006832
                     35,                 1.5709,                 1.6396,                 1.4085,                0.78058,                0.69984,                0.75506,                0.43219,                 1.6508,                 1.4012,                 1.6983,               0.006733,               0.006733,               0.006733
                     36,                 1.6149,                 1.7317,                 1.4323,                0.79821,                0.72382,                0.78003,                0.45756,                 1.5675,                 1.2869,                 1.6376,               0.006634,               0.006634,               0.006634
                     37,                 1.5343,                 1.7202,                 1.3812,                0.80924,                0.73194,                 0.7921,                0.46479,                 1.6063,                 1.2656,                  1.685,               0.006535,               0.006535,               0.006535
                     38,                 1.5895,                 1.7417,                 1.4434,                0.78145,                0.72892,                0.77539,                0.45679,                 1.5705,                 1.2614,                 1.6721,               0.006436,               0.006436,               0.006436
                     39,                 1.5459,                  1.655,                 1.3912,                0.79758,                0.73194,                0.78736,                 0.4702,                 1.5795,                 1.2661,                 1.6715,               0.006337,               0.006337,               0.006337
                     40,                  1.546,                 1.6846,                 1.3968,                0.80794,                0.72249,                0.78585,                0.47192,                 1.5656,                 1.2386,                 1.6502,               0.006238,               0.006238,               0.006238
                     41,                 1.5273,                 1.6457,                 1.3796,                0.80446,                0.71978,                0.79002,                0.47335,                 1.5445,                 1.2217,                 1.6373,               0.006139,               0.006139,               0.006139
