epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,75.0227,2.3388,4.76405,1.16467,0.61555,0.57222,0.5752,0.25414,1.94786,1.81451,0.98675,0.00198701,0.000662338,0.00198701,0.000662338,0.00198701,0.000662338,0.00198701,0.000662338
2,137.928,1.87009,1.63382,0.9732,0.65346,0.67968,0.66498,0.28898,1.85108,1.17596,0.93953,0.00390807,0.00130269,0.00390807,0.00130269,0.00390807,0.00130269,0.00390807,0.00130269
3,197.316,1.84191,1.28782,0.9616,0.74156,0.70748,0.7722,0.39531,1.65675,1.02449,0.91178,0.00574993,0.00191664,0.00574993,0.00191664,0.00574993,0.00191664,0.00574993,0.00191664
4,256.614,1.80149,1.15117,0.94116,0.7415,0.73278,0.79319,0.38725,1.69317,1.0659,0.9203,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,315.808,1.79057,1.14117,0.96053,0.75944,0.74917,0.80399,0.40356,1.68376,1.04425,0.9242,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,374.914,1.78422,1.0599,0.91986,0.77371,0.73767,0.79957,0.39727,1.67623,1.04455,0.93248,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,433.96,1.77742,1.07406,0.94891,0.74351,0.77697,0.82111,0.41708,1.63728,0.9408,0.91018,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,493.46,1.74291,1.04318,0.93878,0.77571,0.80807,0.84035,0.45433,1.58095,0.90668,0.90423,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,552.764,1.72588,0.99265,0.91727,0.75973,0.75645,0.80155,0.36955,1.73053,0.99186,0.90326,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,611.818,1.68283,0.96706,0.91614,0.77544,0.76307,0.82443,0.43293,1.60539,0.9275,0.90005,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,671.318,1.71261,0.96224,0.91382,0.81012,0.81734,0.85371,0.45596,1.5623,0.8944,0.90198,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
