                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3025,                 3.3801,                 1.4053,                0.54272,                0.53771,                0.46174,                0.12839,                 2.4872,                 2.9784,                 1.4823,             0.00065574,             0.00065574,             0.00065574
                      2,                 2.0713,                 2.1802,                 1.3026,                0.00044,                0.04136,                0.00022,                  8e-05,                    nan,                    nan,                    nan,              0.0013202,              0.0013202,              0.0013202
                      3,                 2.0781,                 2.3063,                 1.3125,                0.10198,                0.31514,                0.05729,                0.01583,                 2.6449,                    nan,                 1.4273,              0.0019825,              0.0019825,              0.0019825
                      4,                 2.0384,                 2.2127,                 1.2916,                0.38534,                0.38286,                0.30839,                0.09052,                 2.4827,                 3.6251,                 1.4213,              0.0019901,              0.0019901,              0.0019901
                      5,                 1.9648,                 2.1224,                 1.2444,                 0.4366,                0.51474,                 0.3767,                0.11378,                 2.4354,                 2.4277,                 1.4092,              0.0019901,              0.0019901,              0.0019901
                      6,                 1.9674,                  2.013,                  1.261,                 0.4849,                0.52798,                0.44577,                0.12459,                 2.5483,                 2.3239,                 1.4744,              0.0019868,              0.0019868,              0.0019868
                      7,                  1.956,                 2.0122,                 1.2387,                 0.5206,                0.51127,                 0.4728,                0.14645,                 2.3868,                 2.4599,                 1.3799,              0.0019835,              0.0019835,              0.0019835
                      8,                 1.9698,                 2.0292,                 1.2692,                0.46831,                0.41484,                0.38534,                0.11653,                  2.487,                 2.1483,                 1.4065,              0.0019802,              0.0019802,              0.0019802
                      9,                 1.9278,                 1.9073,                 1.2289,                0.46599,                0.46837,                0.40789,                0.11687,                 2.5778,                 2.0486,                 1.4755,              0.0019769,              0.0019769,              0.0019769
                     10,                 1.9178,                 1.9421,                  1.246,                0.58208,                0.46472,                0.43648,                0.11571,                 2.4776,                 1.8756,                 1.3504,              0.0019736,              0.0019736,              0.0019736
                     11,                 1.8826,                 1.9702,                 1.2084,                0.62131,                0.56569,                0.56228,                 0.1829,                 2.2844,                 1.5854,                  1.318,              0.0019703,              0.0019703,              0.0019703
                     12,                 1.9708,                 1.9953,                 1.2195,                0.58899,                0.50487,                0.49875,                 0.1791,                 2.3116,                 1.7975,                 1.3401,               0.001967,               0.001967,               0.001967
                     13,                 1.8473,                  1.931,                  1.182,                0.50693,                0.47904,                0.43257,                0.12537,                 2.4907,                 2.1499,                 1.3598,              0.0019637,              0.0019637,              0.0019637
                     14,                 1.8331,                 1.8521,                 1.1892,                0.59868,                0.53174,                 0.5511,                0.21199,                 2.1729,                 1.7153,                 1.2873,              0.0019604,              0.0019604,              0.0019604
                     15,                 1.8105,                 1.8565,                  1.191,                0.63823,                0.56569,                0.56429,                0.17752,                  2.343,                 1.6825,                 1.3607,              0.0019571,              0.0019571,              0.0019571
                     16,                 1.8445,                 1.8821,                  1.169,                0.61688,                0.58637,                0.55676,                0.18915,                 2.3139,                 1.8068,                 1.3446,              0.0019538,              0.0019538,              0.0019538
                     17,                 1.8471,                 1.8457,                 1.1799,                 0.6003,                  0.539,                0.53086,                 0.1468,                 2.4301,                 1.6475,                 1.3132,              0.0019505,              0.0019505,              0.0019505
                     18,                 1.8274,                 1.8043,                 1.1734,                0.66474,                0.61027,                 0.6132,                0.19991,                 2.3081,                 1.9301,                 1.3103,              0.0019472,              0.0019472,              0.0019472
                     19,                 1.8049,                 1.8102,                 1.1777,                0.54471,                0.59854,                0.54792,                0.17515,                 2.2483,                 1.7708,                 1.3099,              0.0019439,              0.0019439,              0.0019439
                     20,                 1.7827,                 1.7489,                 1.1704,                 0.6385,                0.58759,                0.57421,                0.16214,                 2.3709,                 1.7827,                 1.3224,              0.0019406,              0.0019406,              0.0019406
                     21,                 1.8297,                 1.8209,                  1.184,                0.61431,                0.61314,                0.58929,                0.18885,                 2.3395,                  2.355,                 1.3516,              0.0019373,              0.0019373,              0.0019373
                     22,                 1.7708,                 1.7269,                 1.1722,                0.66828,                0.59246,                0.60719,                0.19057,                 2.2018,                 1.9782,                 1.2538,               0.001934,               0.001934,               0.001934
                     23,                 1.7913,                 1.7936,                 1.1654,                0.62512,                0.56326,                0.55222,                0.14673,                 2.4452,                 1.9134,                 1.3488,              0.0019307,              0.0019307,              0.0019307
                     24,                 1.7904,                 1.7894,                 1.1639,                0.60733,                0.50243,                0.54225,                0.21069,                 2.2487,                 1.6561,                 1.3281,              0.0019274,              0.0019274,              0.0019274
                     25,                 1.8117,                  1.749,                 1.1935,                0.62086,                0.58881,                0.56258,                0.15699,                 2.3914,                 1.6351,                 1.2958,              0.0019241,              0.0019241,              0.0019241
                     26,                 1.8141,                 1.8181,                 1.1934,                0.64411,                0.58637,                0.55476,                0.14859,                 2.4756,                 1.8768,                 1.3523,              0.0019208,              0.0019208,              0.0019208
                     27,                 1.7888,                 1.7476,                 1.1883,                0.54303,                0.54646,                0.48607,                 0.1273,                 2.5684,                 1.6547,                 1.4148,              0.0019175,              0.0019175,              0.0019175
                     28,                 1.7447,                 1.7478,                 1.1915,                0.68145,                0.62979,                0.64771,                0.25331,                  2.226,                 1.5935,                 1.3447,              0.0019142,              0.0019142,              0.0019142
                     29,                 1.7707,                 1.7152,                  1.156,                0.58051,                0.55718,                 0.5319,                0.18366,                 2.3799,                 1.9851,                 1.3708,              0.0019109,              0.0019109,              0.0019109
                     30,                 1.7801,                 1.7323,                 1.1897,                0.64407,                0.59002,                0.61318,                0.22307,                 2.1544,                  1.628,                 1.2573,              0.0019076,              0.0019076,              0.0019076
                     31,                 1.7579,                 1.7505,                 1.1831,                0.64134,                0.57543,                0.58257,                0.16358,                 2.4224,                 1.7357,                 1.3334,              0.0019043,              0.0019043,              0.0019043
                     32,                  1.718,                 1.6287,                  1.164,                 0.6826,                0.61071,                0.62483,                0.22359,                 2.1953,                 1.6411,                   1.29,               0.001901,               0.001901,               0.001901
                     33,                 1.7683,                 1.6733,                 1.1683,                 0.6711,                0.57543,                0.58136,                0.18113,                 2.3642,                 1.7725,                 1.3486,              0.0018977,              0.0018977,              0.0018977
                     34,                 1.7836,                 1.7322,                 1.1722,                 0.7159,                0.61922,                0.66764,                0.24334,                 2.1921,                 1.7983,                 1.2859,              0.0018944,              0.0018944,              0.0018944
                     35,                 1.7796,                 1.7112,                 1.1475,                0.65317,                0.56083,                0.59645,                0.19784,                 2.3391,                 1.6497,                 1.3741,              0.0018911,              0.0018911,              0.0018911
                     36,                 1.7779,                 1.6785,                 1.1774,                0.69964,                0.54975,                0.60897,                0.18445,                 2.4238,                 1.5294,                 1.3523,              0.0018878,              0.0018878,              0.0018878
                     37,                 1.7803,                 1.7019,                 1.1972,                0.68662,                0.61679,                0.63566,                0.21024,                 2.2636,                 1.7748,                 1.2733,              0.0018845,              0.0018845,              0.0018845
                     38,                 1.7448,                 1.7116,                 1.1642,                0.65462,                0.59124,                0.58287,                  0.168,                 2.4109,                 1.6356,                 1.3298,              0.0018812,              0.0018812,              0.0018812
                     39,                 1.7494,                 1.6254,                  1.117,                0.64763,                0.61071,                0.60832,                 0.1836,                 2.3566,                 1.8553,                 1.3064,              0.0018779,              0.0018779,              0.0018779
                     40,                 1.7805,                 1.7245,                 1.1746,                0.72119,                0.60732,                0.66687,                0.23554,                 2.2278,                  1.453,                 1.2996,              0.0018746,              0.0018746,              0.0018746
                     41,                  1.772,                  1.721,                 1.1594,                0.58256,                0.54988,                0.49957,                0.11962,                 2.6158,                 1.8537,                 1.4138,              0.0018713,              0.0018713,              0.0018713
