                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9477,                  3.033,                 1.4312,                0.00011,                0.00852,                  6e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0011765,              0.0011765,              0.0011765
                      2,                 2.0452,                 1.8775,                 1.4143,                0.00011,                0.00852,                  6e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0019802,              0.0019802,              0.0019802
                      3,                 1.9987,                 1.8443,                 1.3433,                0.37639,                0.39871,                0.27579,                0.07782,                 2.2753,                 2.3158,                 1.5947,              0.0019802,              0.0019802,              0.0019802
                      4,                 1.8804,                 1.6963,                  1.346,                0.01531,                0.50122,                0.01118,                0.00472,                 1.9999,                    inf,                 1.5014,              0.0019604,              0.0019604,              0.0019604
                      5,                 1.7918,                 1.5148,                  1.314,                0.51919,                0.51889,                0.44095,                0.17359,                 1.8732,                 1.7815,                 1.4435,              0.0019407,              0.0019407,              0.0019407
                      6,                 1.7714,                 1.5254,                 1.2993,                0.49806,                 0.5073,                0.47858,                0.18988,                 1.9004,                 1.6322,                 1.4469,              0.0019209,              0.0019209,              0.0019209
                      7,                 1.7848,                  1.479,                 1.2758,                0.53851,                0.55506,                0.48032,                0.20553,                 1.7912,                 1.5545,                 1.3486,              0.0019011,              0.0019011,              0.0019011
                      8,                 1.7212,                 1.4102,                 1.2826,                0.49408,                0.48235,                0.47668,                0.21839,                 1.7885,                 1.5503,                  1.352,              0.0018813,              0.0018813,              0.0018813
                      9,                 1.7061,                 1.4557,                 1.3128,                0.57128,                0.52676,                0.51792,                0.23084,                 1.7585,                 1.5841,                 1.3706,              0.0018615,              0.0018615,              0.0018615
                     10,                  1.692,                 1.3633,                 1.2702,                0.61895,                0.55596,                0.57497,                 0.2695,                 1.6354,                 1.4389,                 1.3226,              0.0018417,              0.0018417,              0.0018417
                     11,                 1.6871,                 1.3719,                 1.2538,                0.66146,                0.58394,                0.60708,                0.26884,                  1.691,                 1.5087,                 1.3353,               0.001822,               0.001822,               0.001822
                     12,                 1.6716,                 1.3652,                 1.2761,                0.59198,                0.57786,                0.54562,                0.23046,                  1.802,                 1.4421,                 1.3501,              0.0018022,              0.0018022,              0.0018022
                     13,                 1.6452,                  1.321,                   1.26,                0.59875,                0.56934,                0.56806,                0.26333,                 1.7003,                   1.38,                 1.3662,              0.0017824,              0.0017824,              0.0017824
                     14,                 1.6776,                  1.308,                 1.3025,                0.63912,                0.59611,                0.58754,                0.28311,                  1.685,                 1.4816,                 1.3416,              0.0017626,              0.0017626,              0.0017626
                     15,                 1.6328,                 1.3381,                 1.2767,                0.56887,                0.55474,                0.51614,                0.23265,                   1.72,                 1.6009,                 1.3335,              0.0017428,              0.0017428,              0.0017428
                     16,                 1.6651,                 1.3057,                 1.2701,                 0.6014,                0.40511,                0.41203,                0.20454,                 2.0827,                 2.0757,                 1.4558,               0.001723,               0.001723,               0.001723
                     17,                 1.6164,                 1.2907,                 1.2261,                0.62361,                0.54501,                  0.558,                0.25717,                 1.8043,                 1.5794,                 1.3361,              0.0017033,              0.0017033,              0.0017033
                     18,                 1.6506,                 1.3402,                 1.2623,                0.58846,                0.49392,                0.47033,                0.22544,                 1.7656,                 1.9789,                 1.3964,              0.0016835,              0.0016835,              0.0016835
                     19,                 1.6166,                 1.3082,                 1.2261,                0.65164,                0.63491,                0.65175,                0.30666,                 1.6224,                 1.3121,                 1.3301,              0.0016637,              0.0016637,              0.0016637
                     20,                 1.5822,                 1.2443,                 1.2457,                0.54591,                0.55869,                0.50928,                0.22084,                 1.6673,                  1.577,                 1.3189,              0.0016439,              0.0016439,              0.0016439
                     21,                 1.5984,                 1.2716,                 1.2773,                0.61865,                0.60982,                0.62744,                0.28529,                 1.7104,                 1.3509,                 1.3471,              0.0016241,              0.0016241,              0.0016241
                     22,                 1.6158,                 1.2223,                 1.2365,                0.64859,                0.59367,                 0.6158,                0.27673,                 1.7681,                   1.35,                  1.357,              0.0016043,              0.0016043,              0.0016043
                     23,                 1.6378,                 1.2333,                 1.2367,                0.64343,                0.62409,                0.63835,                0.30364,                 1.5992,                 1.3146,                 1.3258,              0.0015846,              0.0015846,              0.0015846
                     24,                 1.5547,                 1.2129,                 1.2622,                0.65258,                0.64477,                0.65822,                0.33916,                 1.6247,                  1.247,                 1.3408,              0.0015648,              0.0015648,              0.0015648
                     25,                 1.5687,                 1.1974,                  1.222,                0.61729,                0.54866,                0.56942,                0.26988,                 1.6574,                 1.4651,                 1.3427,               0.001545,               0.001545,               0.001545
                     26,                 1.5532,                 1.1979,                  1.207,                0.64437,                0.64355,                 0.6677,                 0.3259,                 1.5884,                 1.4118,                 1.3062,              0.0015252,              0.0015252,              0.0015252
                     27,                 1.5392,                 1.1785,                 1.2213,                0.61965,                 0.6472,                0.61519,                 0.3057,                 1.5784,                 1.3338,                  1.336,              0.0015054,              0.0015054,              0.0015054
                     28,                 1.5147,                 1.1958,                 1.2062,                0.63829,                0.62774,                0.64022,                0.28618,                 1.7166,                 1.2591,                 1.3373,              0.0014856,              0.0014856,              0.0014856
                     29,                 1.5223,                 1.1181,                 1.2074,                0.67047,                0.63017,                0.67703,                0.33786,                 1.5676,                 1.2732,                 1.3219,              0.0014659,              0.0014659,              0.0014659
                     30,                 1.5584,                 1.2203,                 1.2287,                0.64054,                 0.6472,                0.65778,                0.33195,                 1.5501,                 1.3164,                  1.294,              0.0014461,              0.0014461,              0.0014461
                     31,                 1.5083,                 1.1409,                  1.197,                0.66305,                0.64842,                0.66174,                0.33069,                 1.5558,                 1.2469,                 1.3258,              0.0014263,              0.0014263,              0.0014263
                     32,                 1.5422,                 1.1581,                 1.2092,                0.66899,                0.64112,                0.69208,                0.34264,                 1.5646,                 1.1695,                 1.3001,              0.0014065,              0.0014065,              0.0014065
