fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.46199,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.46317,0.01116,0.00911,0.92574,0.00045,2.59704,0.91066,6.97482,0.50492,1.65564,0.01265,0.64085,0.43166,0.0,0.07071,0.5,0.0,0.0,0.0,0.47352,0.75931,0.0,0.0
0.45951,0.01116,0.00925,0.92736,0.00044,2.59704,0.92255,6.91474,0.49726,1.69676,0.0123,0.61947,0.43166,0.0,0.07071,0.50326,0.0,0.0,0.0,0.47164,0.74932,0.0,0.0
0.46756,0.01015,0.01074,0.89356,0.00045,1.92296,0.95,6.97482,0.58652,1.63977,0.01164,0.64085,0.45377,0.0,0.07313,0.56351,0.0,0.0,0.0,0.41986,0.75931,0.0,0.0
0.46818,0.01137,0.01079,0.92683,0.00046,1.97726,0.95,6.94958,0.55564,1.75738,0.01172,0.73043,0.49783,0.0,0.07811,0.59145,0.0,0.0,0.0,0.47665,0.77133,0.0,0.0
0.46967,0.01145,0.01077,0.92683,0.00047,1.97726,0.92844,6.94958,0.55539,1.75738,0.01172,0.7238,0.49783,0.0,0.07811,0.61658,0.0,0.0,0.0,0.47408,0.7939,0.0,0.0
0.45953,0.01142,0.01076,0.92732,0.00047,1.90676,0.90341,6.92373,0.53618,1.78007,0.01175,0.73636,0.49182,0.0,0.07711,0.61658,0.0,0.0,0.0,0.49482,0.78224,0.0,0.0
0.46225,0.01285,0.01091,0.93066,0.00047,1.74928,0.78485,7.51994,0.5866,1.66648,0.00846,0.64085,0.38984,0.0,0.08184,0.56351,0.0,0.0,0.0,0.31416,0.75931,0.0,0.0
0.45987,0.0113,0.01057,0.924,0.00047,1.95922,0.91792,7.09052,0.55276,1.72147,0.01172,0.74043,0.49539,0.0,0.07725,0.62305,0.0,0.0,0.0,0.4784,0.79874,0.0,0.0
0.45877,0.01179,0.01077,0.92683,0.00049,1.97726,0.861,6.8385,0.5982,1.5405,0.0114,0.7238,0.46059,0.0,0.0819,0.67565,0.0,0.0,0.0,0.44589,0.88114,0.0,0.0
0.46305,0.01174,0.01192,0.8876,0.00047,1.86239,0.95,7.01228,0.50749,1.59165,0.01228,0.60136,0.47092,0.0,0.07475,0.54828,0.0,0.0,0.0,0.37889,0.65929,0.0,0.0
0.46967,0.01147,0.01074,0.92566,0.00047,1.98322,0.92844,6.93247,0.55834,1.7574,0.01182,0.72768,0.5031,0.0,0.07744,0.61658,0.0,0.0,0.0,0.47693,0.78703,0.0,0.0
0.46027,0.01023,0.01284,0.91966,0.00045,2.32211,0.82132,7.93364,0.54308,1.63977,0.01478,0.73279,0.5053,0.0,0.07076,0.57027,0.0,0.0,0.0,0.41986,0.78149,0.0,0.0
0.4634,0.01198,0.00895,0.96841,0.00043,1.76711,0.92844,6.93247,0.49396,1.73902,0.01146,0.6593,0.5031,0.0,0.08095,0.66881,0.0,0.0,0.0,0.42578,0.85288,0.0,0.0
0.4639,0.01178,0.01236,0.92566,0.00046,2.00252,0.92844,6.93247,0.55834,1.98015,0.01093,0.73395,0.5385,0.0,0.07744,0.54883,0.0,0.0,0.0,0.47399,0.70444,0.0,0.0
0.45501,0.01524,0.00955,0.92683,0.00053,1.97726,0.92794,8.34818,0.48181,1.64575,0.01143,0.73043,0.60145,0.0,0.07811,0.60295,0.0,0.0,0.0,0.67025,0.53523,0.0,0.0
0.45979,0.00986,0.01336,0.90696,0.00042,1.88356,0.95,6.97482,0.5819,1.66713,0.01164,0.5164,0.45952,0.0,0.07651,0.56867,0.0,0.0,0.0,0.39232,0.99312,0.0,0.0
0.47085,0.01167,0.01079,0.92566,0.00047,1.72143,0.93061,6.71972,0.50805,1.72295,0.01164,0.65926,0.5031,0.0,0.07744,0.58266,0.0,0.0,0.0,0.48956,0.74843,0.0,0.0
0.46653,0.01296,0.0098,0.95078,0.00045,1.43134,0.94332,6.7379,0.50805,1.66765,0.01284,0.67589,0.58503,0.0,0.07739,0.53426,0.0,0.0,0.0,0.43285,0.66883,0.0,0.0
0.46134,0.01148,0.00836,0.88578,0.00044,1.53639,0.88132,6.71972,0.39474,1.19708,0.01314,0.6774,0.52438,0.0,0.07998,0.4854,0.0,0.0,0.0,0.4365,0.71917,0.0,0.0
0.46987,0.01098,0.01105,0.92566,0.00043,2.01727,0.91713,6.93247,0.59273,1.64864,0.01222,0.70414,0.48791,0.0,0.08176,0.59101,0.0,0.0,0.0,0.48029,0.78703,0.0,0.0
0.45621,0.01145,0.01156,0.92051,0.00049,2.1115,0.94763,6.94958,0.536,1.81103,0.01096,0.7194,0.50698,0.0,0.07811,0.64357,0.0,0.0,0.0,0.47408,0.79039,0.0,0.0
0.46605,0.01213,0.01079,0.93523,0.00044,1.37224,0.93061,6.71972,0.56087,1.89029,0.00993,0.65926,0.5031,0.0,0.08056,0.6379,0.0,0.0,0.0,0.48956,0.7396,0.0,0.0
0.46547,0.01147,0.01114,0.93221,0.00047,1.84415,0.92844,6.71248,0.53646,1.73204,0.01172,0.71251,0.5083,0.0,0.07862,0.61229,0.0,0.0,0.0,0.47251,0.79953,0.0,0.0
0.47233,0.01167,0.01107,0.92336,0.00048,1.75008,0.92342,6.71309,0.50903,1.77871,0.01164,0.70803,0.51955,0.0,0.07637,0.58266,0.0,0.0,0.0,0.49884,0.76423,0.0,0.0
0.45776,0.01162,0.01089,0.91915,0.00047,1.73484,0.92526,6.5667,0.50805,1.73689,0.01167,0.64315,0.49689,0.0,0.07734,0.58266,0.0,0.0,0.0,0.48829,0.74843,0.0,0.0
0.46437,0.01184,0.01106,0.92566,0.00047,1.74501,0.92106,6.71972,0.50102,1.72295,0.01164,0.64774,0.50049,0.0,0.07782,0.58266,0.0,0.0,0.0,0.48235,0.74843,0.0,0.0
0.46574,0.00954,0.01196,0.93754,0.00048,2.14838,0.92342,6.81357,0.72555,1.77871,0.01164,0.59561,0.50229,0.0,0.0874,0.65431,0.0,0.0,0.0,0.57628,0.83703,0.0,0.0
0.4637,0.01463,0.00949,0.88178,0.00055,1.75008,0.89485,6.05763,0.59571,2.07507,0.00983,0.72921,0.5893,0.0,0.07637,0.71292,0.0,0.0,0.0,0.43567,0.90028,0.0,0.0
0.46792,0.01219,0.00876,0.90605,0.00053,1.60075,0.95,6.71309,0.50903,1.77871,0.01201,0.69992,0.52322,0.0,0.07712,0.65647,0.0,0.0,0.0,0.49283,0.99447,0.0,0.0
0.45493,0.01251,0.01107,0.92336,0.00041,1.75008,0.95,5.39736,0.50903,1.77871,0.00999,0.83755,0.56271,0.0,0.09487,0.51697,0.0,0.0,0.0,0.44739,0.63557,0.0,0.0
