fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.35387,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.35387,0.01097,0.01059,0.93536,0.00047,3.0,0.89644,7.5,0.49424,1.40879,0.01511,0.68135,0.40029,0.0,0.08974,0.50423,0.0,0.0,0.0,0.54729,0.98517,0.0,0.0
0.35387,0.00967,0.01059,0.85554,0.00029,3.0,0.88316,6.92318,0.48026,1.54967,0.0132,0.68135,0.40029,0.0,0.09658,0.4986,0.0,0.0,0.0,0.74531,0.67658,0.0,0.0
0.35387,0.0099,0.01052,0.85069,0.00029,2.97552,0.90647,6.90512,0.47965,1.54131,0.0132,0.68135,0.39906,0.0,0.09658,0.49861,0.0,0.0,0.0,0.74531,0.68892,0.0,0.0
0.35387,0.00884,0.01063,0.98,0.0005,3.56454,0.76049,7.5,0.5,1.62046,0.01458,0.7,0.36137,0.0,0.10225,0.48859,0.0,0.0,0.0,0.44322,1.0,0.0,0.0
0.35387,0.00987,0.0123,0.86151,0.00029,2.97552,0.83839,6.5303,0.47965,1.54131,0.01091,0.63506,0.46587,0.0,0.08686,0.52031,0.0,0.0,0.0,0.6734,0.68892,0.0,0.0
0.35387,0.011,0.00975,0.90409,0.00053,3.17346,0.51187,7.5,0.5,0.93613,0.01478,0.7,0.42149,0.0,0.10991,0.41603,0.0,0.0,0.0,0.44322,1.0,0.0,0.0
0.35387,0.0099,0.01136,0.80316,0.00029,2.97552,0.95,9.54565,0.54291,1.52342,0.01276,0.62887,0.39906,0.0,0.11264,0.48877,0.0,0.0,0.0,0.74531,0.72355,0.0,0.0
0.35387,0.01064,0.0107,0.92457,0.00047,3.13677,0.95,7.26396,0.49424,1.51326,0.01587,0.68135,0.40968,0.0,0.09061,0.50423,0.0,0.0,0.0,0.57338,0.98517,0.0,0.0
0.35387,0.00802,0.01039,0.91892,0.00047,3.56454,0.76049,7.45087,0.46791,1.51056,0.01458,0.6823,0.3679,0.0,0.12013,0.48859,0.0,0.0,0.0,0.47433,1.0,0.0,0.0
0.35387,0.01005,0.01233,0.82601,0.00026,3.0,0.7936,6.92318,0.51432,1.44122,0.01024,0.58325,0.39341,0.0,0.11405,0.49212,0.0,0.0,0.0,0.71093,0.80022,0.0,0.0
0.35387,0.00943,0.01437,0.98,0.00046,3.29723,0.6007,7.93935,0.5,1.62046,0.01458,0.7,0.3694,0.0,0.10225,0.48859,0.0,0.0,0.0,0.4434,1.0,0.0,0.0
0.35387,0.01092,0.01202,0.85597,0.00053,2.73969,0.70055,8.41665,0.43893,1.40912,0.015,0.66585,0.34944,0.0,0.11225,0.29913,0.0,0.0,0.0,0.39149,0.6532,0.0,0.0
0.35387,0.0099,0.01076,0.8613,0.00029,2.96133,0.89814,6.90512,0.4874,1.55646,0.01359,0.6738,0.40086,0.0,0.09658,0.51052,0.0,0.0,0.0,0.76202,0.68892,0.0,0.0
0.35387,0.01007,0.01024,0.93418,0.0005,3.0283,0.77373,7.6764,0.49628,1.5,0.01423,0.70623,0.4,0.0,0.1007,0.50103,0.0,0.0,0.0,0.5,0.98398,0.0,0.0
0.35387,0.0112,0.01,0.94725,0.00052,2.68177,0.79302,7.40886,0.49391,1.63271,0.015,0.6787,0.4,0.0,0.10953,0.49392,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.35387,0.01132,0.01142,0.80939,0.00023,4.07119,0.84881,6.90512,0.40201,1.64843,0.01472,0.67542,0.44606,0.0,0.0944,0.49405,0.0,0.0,0.0,0.60021,0.77627,0.0,0.0
0.35387,0.00943,0.01505,0.98,0.00042,3.22962,0.60895,7.10301,0.49809,1.53407,0.01455,0.73277,0.38242,0.0,0.10908,0.47944,0.0,0.0,0.0,0.4434,0.92976,0.0,0.0
0.35387,0.01156,0.01106,0.86788,0.00056,2.71973,0.77316,10.97566,0.53238,1.1581,0.01439,0.6392,0.38229,0.0,0.10281,0.27952,0.0,0.0,0.0,0.39149,0.69212,0.0,0.0
0.35387,0.01031,0.00999,0.90161,0.00051,2.98745,0.79357,7.6764,0.47944,1.60111,0.01437,0.71987,0.41316,0.0,0.0978,0.51545,0.0,0.0,0.0,0.46875,0.98398,0.0,0.0
0.35387,0.01142,0.0114,0.81731,0.00023,4.55066,0.82906,7.5728,0.36524,1.86726,0.01472,0.68296,0.44606,0.0,0.0944,0.47965,0.0,0.0,0.0,0.64419,0.77627,0.0,0.0
0.35387,0.01132,0.01142,0.80939,0.00015,5.0,0.77876,6.79045,0.33125,1.10342,0.01442,0.59446,0.23286,0.0,0.0944,0.49405,0.0,0.0,0.0,0.75906,0.77627,0.0,0.0
0.35387,0.0095,0.01077,0.86788,0.00069,2.42889,0.66933,10.97566,0.59353,0.9571,0.0178,0.63203,0.33972,0.0,0.10639,0.34224,0.0,0.0,0.0,0.27577,0.69212,0.0,0.0
0.35387,0.00947,0.00999,0.87895,0.00051,3.75321,0.8852,7.58884,0.54899,1.60111,0.01269,0.57621,0.43969,0.0,0.10327,0.5212,0.0,0.0,0.0,0.46875,1.0,0.0,0.0
0.35387,0.01132,0.01192,0.81235,0.00015,5.0,0.80247,6.79045,0.33125,1.07804,0.01431,0.59446,0.22784,0.0,0.09627,0.50246,0.0,0.0,0.0,0.75906,0.81987,0.0,0.0
0.35387,0.01073,0.00999,0.90249,0.00051,2.97361,0.79357,7.52779,0.47944,1.51427,0.0135,0.71987,0.41306,0.0,0.09494,0.52747,0.0,0.0,0.0,0.46875,0.99386,0.0,0.0
0.35387,0.00756,0.01255,0.95712,0.00049,2.00292,0.70204,10.09022,0.73128,1.11968,0.01912,0.63203,0.23495,0.0,0.09884,0.35192,0.0,0.0,0.0,0.19633,0.89413,0.0,0.0
0.35387,0.01121,0.00964,0.81235,0.00015,5.0,0.93018,6.65596,0.47925,1.07804,0.01431,0.61219,0.25167,0.0,0.09627,0.51393,0.0,0.0,0.0,0.68523,1.0,0.0,0.0
0.35387,0.00998,0.01007,0.93491,0.0005,3.0,0.78671,7.3952,0.49871,1.50647,0.015,0.69496,0.40337,0.0,0.1,0.49511,0.0,0.0,0.0,0.5,0.97747,0.0,0.0
0.35387,0.01,0.00924,0.937,0.0005,2.95875,0.85723,6.68242,0.53633,1.5,0.01626,0.63879,0.44618,0.0,0.10371,0.51562,0.0,0.0,0.0,0.5526,0.99196,0.0,0.0
0.35387,0.01,0.00932,0.937,0.00059,2.63958,0.79749,7.41724,0.57432,1.28843,0.015,0.57377,0.44308,0.0,0.09322,0.49806,0.0,0.0,0.0,0.49042,1.0,0.0,0.0
0.35387,0.01073,0.00835,0.86584,0.00051,2.90694,0.64295,7.20859,0.47563,1.76334,0.0135,0.71987,0.42082,0.0,0.09976,0.50369,0.0,0.0,0.0,0.40252,0.99386,0.0,0.0
0.35387,0.01043,0.01003,0.86564,0.00049,3.32112,0.84651,5.67648,0.50981,1.53594,0.01399,0.65642,0.40444,0.0,0.09294,0.39846,0.0,0.0,0.0,0.5,0.97747,0.0,0.0
0.35387,0.01,0.00839,0.85731,0.00058,2.99294,0.86523,7.41724,0.41327,1.28743,0.015,0.57377,0.44308,0.0,0.08692,0.54251,0.0,0.0,0.0,0.59832,1.0,0.0,0.0
0.35387,0.01137,0.00901,0.84821,0.00047,2.8287,0.65883,7.58598,0.44858,1.76334,0.01397,0.71295,0.4423,0.0,0.09451,0.50369,0.0,0.0,0.0,0.41083,1.0,0.0,0.0
0.35387,0.00907,0.01071,0.94072,0.00052,3.0,0.8079,7.66683,0.52808,1.66553,0.015,0.66562,0.3572,0.0,0.10169,0.50059,0.0,0.0,0.0,0.54058,1.0,0.0,0.0
0.35387,0.00919,0.01106,0.87505,0.00069,2.40736,0.67544,10.59352,0.58466,1.0008,0.01741,0.63922,0.33231,0.0,0.10929,0.33845,0.0,0.0,0.0,0.27245,0.69452,0.0,0.0
0.35387,0.0112,0.01142,0.78974,0.00015,4.90898,0.6685,7.31715,0.32372,0.87876,0.01626,0.53109,0.23286,0.0,0.0944,0.46795,0.0,0.0,0.0,0.75906,0.80989,0.0,0.0
0.35387,0.00947,0.01142,0.76711,0.00017,5.0,0.77876,6.61001,0.24712,1.04237,0.01442,0.59446,0.15094,0.0,0.0953,0.42888,0.0,0.0,0.0,0.75906,0.7785,0.0,0.0
0.35387,0.01132,0.00825,0.80423,0.00017,3.16617,0.80247,6.79045,0.29429,0.99458,0.01431,0.59446,0.22784,0.0,0.09627,0.61437,0.0,0.0,0.0,0.53273,0.81987,0.0,0.0
0.35387,0.01103,0.00919,0.90249,0.00052,2.82657,0.79357,7.62013,0.46683,1.4207,0.0131,0.68631,0.43917,0.0,0.09197,0.52761,0.0,0.0,0.0,0.46875,0.94202,0.0,0.0
0.35387,0.00931,0.01217,0.89235,0.00044,3.15044,0.72096,6.76942,0.57984,1.66749,0.01269,0.66959,0.41306,0.0,0.09494,0.52747,0.0,0.0,0.0,0.46875,1.0,0.0,0.0
0.35387,0.00938,0.01327,0.98,0.00051,3.45405,0.61329,9.4544,0.39134,1.66436,0.0142,0.57621,0.46522,0.0,0.10647,0.58754,0.0,0.0,0.0,0.51937,0.9725,0.0,0.0
0.35387,0.01174,0.01258,0.82005,0.00015,5.0,0.79727,6.97228,0.33648,1.07103,0.01465,0.61137,0.22587,0.0,0.09627,0.50899,0.0,0.0,0.0,0.75906,0.79695,0.0,0.0
0.35387,0.01274,0.01226,0.8187,0.00017,5.0,0.79996,8.8743,0.22078,1.11142,0.01133,0.51684,0.15112,0.0,0.08114,0.50246,0.0,0.0,0.0,0.95524,0.92092,0.0,0.0
0.35387,0.01132,0.01043,0.79432,0.00014,5.0,0.80247,6.5934,0.3384,1.01554,0.01431,0.61059,0.25964,0.0,0.09791,0.49415,0.0,0.0,0.0,0.75906,0.81987,0.0,0.0
0.35387,0.00712,0.01411,0.98,0.00047,2.00292,0.86399,10.09022,0.68027,0.82898,0.01849,0.59115,0.30922,0.0,0.10138,0.28064,0.0,0.0,0.0,0.18111,1.0,0.0,0.0
0.35387,0.01089,0.00999,0.8764,0.00055,2.92892,0.76972,6.6125,0.49155,1.51427,0.0135,0.64059,0.49637,0.0,0.10673,0.52747,0.0,0.0,0.0,0.4968,0.99386,0.0,0.0
0.35387,0.00947,0.01,0.86098,0.00061,3.3632,0.83827,6.33736,0.424,1.30975,0.01215,0.9,0.37644,0.0,0.05833,0.65413,0.0,0.0,0.0,0.45729,0.69235,0.0,0.0
0.35387,0.01161,0.00818,0.85083,0.00015,4.91857,0.93018,7.21996,0.45264,1.16576,0.01431,0.64096,0.25167,0.0,0.09627,0.68635,0.0,0.0,0.0,0.55979,0.83933,0.0,0.0
0.35387,0.00974,0.00959,0.93138,0.0005,3.28914,0.86564,6.68242,0.52972,1.60517,0.01712,0.6399,0.46078,0.0,0.10931,0.51562,0.0,0.0,0.0,0.54065,0.99196,0.0,0.0
0.35387,0.01091,0.00932,0.93067,0.0005,2.18573,0.76633,7.47759,0.6323,1.42669,0.01705,0.54493,0.51847,0.0,0.09322,0.47456,0.0,0.0,0.0,0.47653,1.0,0.0,0.0
0.35387,0.01097,0.00816,0.84891,0.00052,2.8487,0.60957,7.52513,0.47035,1.80043,0.01333,0.70533,0.42218,0.0,0.09976,0.52628,0.0,0.0,0.0,0.40394,0.9871,0.0,0.0
0.35387,0.01117,0.00772,0.83896,0.00051,2.02803,0.56279,6.48465,0.46045,1.97168,0.01399,0.73668,0.45329,0.0,0.10014,0.60354,0.0,0.0,0.0,0.40499,0.99386,0.0,0.0
0.35387,0.0096,0.00932,0.92827,0.00056,2.74525,0.77397,6.04774,0.6251,1.43704,0.01373,0.57377,0.44308,0.0,0.10367,0.46956,0.0,0.0,0.0,0.45945,0.99069,0.0,0.0
0.35387,0.01011,0.00854,0.8697,0.00049,3.68073,0.80436,5.57599,0.48595,1.42563,0.01142,0.83609,0.40444,0.0,0.09455,0.39846,0.0,0.0,0.0,0.54117,1.0,0.0,0.0
0.35387,0.01,0.00987,0.91476,0.0005,2.80641,0.73284,7.16331,0.50975,1.55718,0.01505,0.62424,0.39033,0.0,0.1,0.5,0.0,0.0,0.0,0.52076,0.93996,0.0,0.0
0.35387,0.01,0.0089,0.92048,0.00059,2.82612,0.84197,7.58364,0.4649,1.4127,0.015,0.5372,0.47686,0.0,0.09222,0.4637,0.0,0.0,0.0,0.51674,0.99247,0.0,0.0
0.35387,0.01008,0.00823,0.86476,0.00057,2.96433,0.87416,7.41724,0.39072,1.29708,0.015,0.57377,0.42305,0.0,0.08916,0.54957,0.0,0.0,0.0,0.59602,0.94316,0.0,0.0
0.35387,0.0106,0.00841,0.86373,0.00051,2.9455,0.64295,7.46607,0.47563,1.76334,0.01349,0.72288,0.42009,0.0,0.09866,0.50369,0.0,0.0,0.0,0.39896,1.0,0.0,0.0
