fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.45417,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.46062,0.01,0.01138,0.937,0.00054,3.6203,0.84877,7.72062,0.66707,1.48016,0.0126,0.73257,0.45347,0.0,0.09023,0.6721,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.4572,0.01144,0.01534,0.89596,0.00054,3.07527,0.63616,9.67819,0.6346,1.67734,0.01309,0.73257,0.47171,0.0,0.07894,0.6721,0.0,0.0,0.0,0.42044,0.95944,0.0,0.0
0.44575,0.00964,0.01414,0.86009,0.00054,2.75864,0.63616,10.39232,0.6346,1.49703,0.01356,0.75666,0.49383,0.0,0.08159,0.67303,0.0,0.0,0.0,0.42375,0.94662,0.0,0.0
0.4569,0.00972,0.01183,0.937,0.00054,3.46597,0.85587,7.66798,0.64194,1.57142,0.01222,0.68464,0.44364,0.0,0.09023,0.73053,0.0,0.0,0.0,0.51328,1.0,0.0,0.0
0.45085,0.01147,0.01511,0.89596,0.00054,3.09489,0.63616,9.55965,0.6294,1.67734,0.01309,0.72202,0.47131,0.0,0.07894,0.67284,0.0,0.0,0.0,0.42088,0.96896,0.0,0.0
0.46114,0.00789,0.01078,0.92546,0.00056,3.53082,0.80128,7.72062,0.70265,1.21098,0.01421,0.70997,0.51493,0.0,0.08216,0.73954,0.0,0.0,0.0,0.47237,1.0,0.0,0.0
0.45134,0.0105,0.01573,0.87008,0.00059,2.84488,0.57896,9.55829,0.50351,1.82634,0.01294,0.88394,0.44404,0.0,0.08816,0.67129,0.0,0.0,0.0,0.42044,0.95944,0.0,0.0
0.45445,0.00805,0.01078,0.92546,0.00056,3.35091,0.8827,6.93995,0.66009,1.21098,0.01597,0.74588,0.54663,0.0,0.08964,0.68072,0.0,0.0,0.0,0.52762,1.0,0.0,0.0
0.45345,0.00789,0.01212,0.92546,0.00057,2.99474,0.59054,7.25631,0.70265,1.07723,0.01234,0.72956,0.46749,0.0,0.10218,0.73954,0.0,0.0,0.0,0.46968,0.82562,0.0,0.0
