                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3318,                 4.0493,                 1.1866,                0.44784,                0.36618,                 0.3393,                0.11732,                 1.4147,                 2.3437,                 1.4051,                  0.001,                  0.001,                  0.001
                      2,                 1.2861,                 1.3351,                 1.2043,                0.01775,                0.42092,                0.01137,                 0.0044,                    nan,                    nan,                    nan,              0.0019803,              0.0019803,              0.0019803
                      3,                 1.2596,                 1.3283,                 1.1432,                 0.4858,                0.31873,                0.31758,                 0.1324,                 1.2906,                 3.1366,                 1.2799,              0.0019803,              0.0019803,              0.0019803
                      4,                 1.2478,                 1.1865,                  1.186,                0.54241,                0.25092,                0.26597,                0.12589,                  1.287,                 1.7985,                 1.2208,              0.0019606,              0.0019606,              0.0019606
                      5,                 1.2019,                 1.0651,                 1.1601,                0.56388,                0.50491,                0.47538,                0.19075,                 1.3462,                 1.4091,                  1.327,              0.0019408,              0.0019408,              0.0019408
                      6,                 1.2139,                 1.1602,                 1.1507,                0.39537,                0.27129,                0.26201,                0.12103,                 1.2778,                 1.4197,                 1.3406,              0.0019211,              0.0019211,              0.0019211
                      7,                 1.1747,                 1.1054,                 1.1575,                0.60612,                  0.618,                0.61427,                0.26202,                 1.2116,                 1.0634,                 1.1947,              0.0019014,              0.0019014,              0.0019014
                      8,                 1.1786,                 1.0455,                 1.1496,                0.58149,                 0.5365,                 0.5434,                 0.2335,                 1.2354,                 1.1353,                 1.2395,              0.0018817,              0.0018817,              0.0018817
                      9,                 1.1672,                 1.0644,                 1.1554,                0.57166,                0.59099,                0.55206,                0.23482,                 1.1919,                 1.1881,                  1.198,               0.001862,               0.001862,               0.001862
                     10,                 1.1404,                  1.036,                 1.1098,                0.57137,                0.59124,                0.56347,                0.25979,                 1.1757,                 1.0837,                 1.1979,              0.0018423,              0.0018423,              0.0018423
                     11,                 1.1355,                 1.0226,                 1.1345,                0.59946,                  0.618,                0.61448,                0.26862,                 1.1924,                  1.115,                 1.2104,              0.0018225,              0.0018225,              0.0018225
                     12,                 1.1201,                 1.0103,                 1.1029,                0.63043,                0.65577,                0.65278,                 0.3033,                 1.1168,                 0.9962,                  1.162,              0.0018028,              0.0018028,              0.0018028
                     13,                 1.0769,                0.93022,                 1.0932,                0.60468,                0.57543,                0.59298,                0.27715,                 1.1512,                 1.0307,                 1.1905,              0.0017831,              0.0017831,              0.0017831
                     14,                 1.1036,                0.96734,                 1.0791,                0.66311,                0.65693,                0.67175,                0.30545,                 1.1248,                0.97013,                 1.1872,              0.0017634,              0.0017634,              0.0017634
                     15,                 1.1024,                0.97592,                 1.1111,                0.62286,                0.59489,                0.60633,                0.28852,                 1.1385,                 1.0793,                 1.1878,              0.0017437,              0.0017437,              0.0017437
                     16,                 1.0795,                0.94175,                 1.0818,                0.61269,                0.65046,                0.65592,                0.31522,                 1.1159,                 1.0073,                 1.1766,              0.0017239,              0.0017239,              0.0017239
                     17,                 1.0865,                 0.9236,                 1.0879,                0.55199,                0.55353,                0.54464,                0.23918,                 1.2101,                 1.2447,                 1.1576,              0.0017042,              0.0017042,              0.0017042
                     18,                 1.0604,                0.88778,                 1.0783,                0.61122,                0.62044,                 0.6268,                0.29497,                 1.1091,                 1.0298,                 1.1707,              0.0016845,              0.0016845,              0.0016845
                     19,                 1.0847,                0.94954,                 1.0994,                0.67792,                0.61314,                0.65575,                0.31022,                  1.154,                 1.0576,                 1.2022,              0.0016648,              0.0016648,              0.0016648
                     20,                 1.0558,                0.89423,                 1.0764,                   0.68,                0.63017,                0.67157,                0.32629,                 1.0889,                0.96092,                 1.1649,              0.0016451,              0.0016451,              0.0016451
                     21,                 1.0568,                0.92539,                 1.0768,                0.67897,                0.63869,                0.67633,                0.32488,                 1.1179,                 1.0097,                 1.1762,              0.0016254,              0.0016254,              0.0016254
                     22,                 1.0893,                0.96001,                  1.093,                0.68498,                0.61634,                0.66273,                0.32334,                 1.0565,                0.98488,                 1.1358,              0.0016056,              0.0016056,              0.0016056
                     23,                 1.0817,                0.93764,                 1.1209,                0.63087,                0.61922,                0.63095,                0.29736,                 1.1183,                 1.0183,                 1.1581,              0.0015859,              0.0015859,              0.0015859
                     24,                 1.1038,                0.92913,                 1.0914,                0.65384,                0.64964,                0.66489,                 0.3328,                  1.067,                0.93511,                 1.1572,              0.0015662,              0.0015662,              0.0015662
                     25,                 1.0197,                0.86396,                 1.0568,                0.66193,                0.62885,                0.65722,                0.30924,                 1.1416,                0.95713,                 1.1678,              0.0015465,              0.0015465,              0.0015465
                     26,                 1.0376,                0.88862,                 1.0661,                0.67455,                0.68079,                0.70389,                0.35579,                 1.0584,                 0.9128,                  1.157,              0.0015268,              0.0015268,              0.0015268
                     27,                 1.0443,                0.86589,                 1.0876,                0.69592,                0.67153,                0.69753,                0.33005,                  1.099,                0.92005,                 1.1501,               0.001507,               0.001507,               0.001507
