fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.4664,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.46961,0.01,0.01005,0.92569,0.00045,3.02597,0.75131,6.17403,0.50404,1.5,0.01549,0.69916,0.41539,0.0,0.09965,0.5,0.0,0.0,0.0,0.5,0.92517,0.0,0.0
0.47112,0.01,0.00992,0.92569,0.00045,2.95851,0.75392,6.14244,0.50462,1.5,0.01534,0.67654,0.40376,0.0,0.09777,0.49746,0.0,0.0,0.0,0.49235,0.91295,0.0,0.0
0.46697,0.00955,0.00847,0.92569,0.00041,2.64185,0.75131,6.6763,0.51905,1.42379,0.01549,0.72206,0.51047,0.0,0.1207,0.46254,0.0,0.0,0.0,0.60644,1.0,0.0,0.0
0.46014,0.01119,0.00696,0.92569,0.00048,3.01398,0.6197,6.14244,0.42722,1.52982,0.01555,0.67487,0.40376,0.0,0.09777,0.46191,0.0,0.0,0.0,0.59193,1.0,0.0,0.0
0.45103,0.00846,0.00825,0.92033,0.00036,2.64185,0.66124,6.1604,0.44294,1.43052,0.01549,0.72198,0.62859,0.0,0.1159,0.25401,0.0,0.0,0.0,0.72499,1.0,0.0,0.0
0.46554,0.00997,0.00972,0.94359,0.00046,2.99963,0.75131,6.3908,0.49996,1.4288,0.01455,0.69916,0.49394,0.0,0.09279,0.50863,0.0,0.0,0.0,0.5,0.8764,0.0,0.0
0.47058,0.00829,0.00797,0.92569,0.00046,2.95851,0.75392,6.42983,0.36098,1.62714,0.01151,0.87122,0.45947,0.0,0.09441,0.41919,0.0,0.0,0.0,0.5368,0.86759,0.0,0.0
0.47016,0.0077,0.01005,0.92037,0.00042,3.02597,0.75131,6.17403,0.50779,1.28712,0.01796,0.70453,0.3722,0.0,0.12754,0.46916,0.0,0.0,0.0,0.5,0.84719,0.0,0.0
0.46161,0.01174,0.01005,0.91497,0.00045,2.61261,0.78585,6.17403,0.39708,1.74428,0.01377,0.69916,0.46064,0.0,0.08577,0.58631,0.0,0.0,0.0,0.56402,0.92517,0.0,0.0
