                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.53883,                  88.49,                0.18531,                0.00072,                0.03333,                0.00037,                0.00011,                0.24081,                0.51398,                0.06713,             0.00061871,             0.00061871,             0.00061871
                      2,                0.90169,                 1.6499,                0.28565,                0.00072,                0.03333,                0.00037,                0.00011,                      0,                0.00157,                      0,              0.0012176,              0.0012176,              0.0012176
                      3,                0.59207,                 1.1997,                0.16299,                0.00072,                0.03333,                0.00037,                0.00011,                      0,                      0,                      0,              0.0017918,              0.0017918,              0.0017918
                      4,                0.42266,                0.77378,                0.09541,                0.00072,                0.03333,                0.00037,                0.00011,                 0.2051,                0.50316,                0.04609,              0.0018812,              0.0018812,              0.0018812
                      5,                0.80187,                  1.252,                0.19323,                0.00072,                0.03333,                0.00037,                0.00011,                0.20287,                0.45768,                0.04826,              0.0018812,              0.0018812,              0.0018812
                      6,                0.72431,                  1.222,                0.19902,                0.00072,                0.03333,                0.00037,                0.00011,                0.17754,                0.42483,                0.04728,              0.0018416,              0.0018416,              0.0018416
                      7,                0.69388,                 1.2492,                0.16954,                0.00072,                0.03333,                0.00037,                0.00011,                 0.1462,                0.27668,                0.03984,               0.001802,               0.001802,               0.001802
                      8,                0.62254,                 1.1453,                0.17335,                0.00072,                0.03333,                0.00037,                0.00011,                0.17059,                0.53597,                0.04709,              0.0017624,              0.0017624,              0.0017624
                      9,                0.45222,                0.92216,                 0.1414,                0.00072,                0.03333,                0.00037,                0.00011,                0.14302,                0.34471,                0.04078,              0.0017229,              0.0017229,              0.0017229
                     10,                0.59324,                 1.0837,                0.14569,                0.00072,                0.03333,                0.00037,                0.00011,                0.16487,                0.47181,                0.04013,              0.0016833,              0.0016833,              0.0016833
                     11,                0.41993,                0.76503,                 0.1152,                0.00072,                0.03333,                0.00037,                0.00011,                      0,                      0,                      0,              0.0016437,              0.0016437,              0.0016437
                     12,                 0.4566,                0.90275,                0.13826,                0.00072,                0.03333,                0.00037,                0.00011,                0.16591,                0.36464,                0.04178,              0.0016041,              0.0016041,              0.0016041
                     13,                0.57121,                0.95716,                0.13919,                0.00072,                0.03333,                0.00037,                0.00011,                 0.2041,                0.36879,                0.04564,              0.0015645,              0.0015645,              0.0015645
                     14,                0.74657,                 1.2675,                0.22297,                0.00072,                0.03333,                0.00037,                0.00011,                0.14923,                 0.3838,                0.03988,              0.0015249,              0.0015249,              0.0015249
                     15,                0.49508,                0.84238,                0.12874,                0.00072,                0.03333,                0.00037,                0.00011,                0.16697,                0.33809,                0.04088,              0.0014853,              0.0014853,              0.0014853
                     16,                  0.619,                 1.1387,                0.20089,                0.00072,                0.03333,                0.00037,                0.00011,                      0,                  3e-05,                      0,              0.0014457,              0.0014457,              0.0014457
                     17,                0.44104,                0.97266,                0.13617,                0.00072,                0.03333,                0.00037,                0.00011,                0.20529,                0.45336,                0.04775,              0.0014061,              0.0014061,              0.0014061
                     18,                0.43816,                0.91919,                0.12873,                0.00072,                0.03333,                0.00037,                0.00011,                 0.1232,                0.31704,                0.03774,              0.0013665,              0.0013665,              0.0013665
                     19,                0.73059,                 1.2881,                0.21381,                0.00072,                0.03333,                0.00037,                0.00011,                0.14543,                0.47403,                0.04096,              0.0013269,              0.0013269,              0.0013269
                     20,                0.45277,                0.98536,                0.11083,                0.00072,                0.03333,                0.00037,                0.00011,                    nan,                    nan,                    nan,              0.0012873,              0.0012873,              0.0012873
                     21,                0.44697,                0.84948,                0.11204,                0.00072,                0.03333,                0.00037,                0.00011,                0.15213,                 0.3411,                0.03914,              0.0012478,              0.0012478,              0.0012478
                     22,                0.55641,                 1.0147,                0.16165,                0.00072,                0.03333,                0.00037,                0.00011,                0.11995,                0.33253,                0.03816,              0.0012082,              0.0012082,              0.0012082
                     23,                 0.5573,                 1.0064,                0.15089,                 0.2549,                0.43333,                 0.3016,                0.13612,                0.12684,                0.27303,                  0.037,              0.0011686,              0.0011686,              0.0011686
                     24,                0.42911,                0.88416,                0.12102,                 0.2549,                0.43333,                 0.3016,                0.13612,                0.16334,                0.43127,                0.04329,               0.001129,               0.001129,               0.001129
