fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.16945,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.16179,0.0087,0.00871,0.97241,0.00051,3.03341,0.71944,7.39095,0.583,1.62912,0.01319,0.6049,0.4009,0.0,0.13014,0.5,0.0,0.0,0.0,0.55927,1.0,0.0,0.0
0.10934,0.01139,0.00997,0.88344,0.00046,3.0,0.81358,8.89966,0.5,1.28086,0.01869,0.6419,0.4,0.0,0.10782,0.53634,0.0,0.0,0.0,0.45686,1.0,0.0,0.0
0.17653,0.00998,0.01003,0.93565,0.0005,3.0,0.80086,7.5,0.49904,1.50118,0.0148,0.69994,0.40107,0.0,0.1,0.50049,0.0,0.0,0.0,0.49972,1.0,0.0,0.0
0.25258,0.01385,0.0102,0.98,0.00046,3.21137,0.66101,7.21188,0.55834,1.08515,0.01595,0.77658,0.40107,0.0,0.11288,0.44179,0.0,0.0,0.0,0.5742,1.0,0.0,0.0
0.00024,0.01385,0.01011,0.98,0.00046,2.86284,0.67086,6.97904,0.582,1.152,0.0161,0.9,0.40107,0.0,0.11288,0.44179,0.0,0.0,0.0,0.53193,1.0,0.0,0.0
0.04654,0.01237,0.0112,0.98,0.00051,3.29226,0.64681,6.1003,0.52276,1.21066,0.01716,0.81633,0.44147,0.0,0.10579,0.42699,0.0,0.0,0.0,0.56691,1.0,0.0,0.0
1e-05,0.01296,0.01279,0.89002,0.00046,2.50468,0.45695,6.92332,0.53547,1.42036,0.01534,0.86388,0.3582,0.0,0.11377,0.48221,0.0,0.0,0.0,0.47553,1.0,0.0,0.0
0.0,0.01291,0.00986,0.98,0.0005,3.0,0.79272,9.21751,0.49904,1.22833,0.01522,0.88174,0.40722,0.0,0.09351,0.6956,0.0,0.0,0.0,0.45354,0.63376,0.0,0.0
0.0,0.00933,0.01184,0.98,0.00049,3.0,0.80086,7.99955,0.44043,1.24161,0.0148,0.79215,0.35212,0.0,0.10151,0.49659,0.0,0.0,0.0,0.49854,0.955,0.0,0.0
0.06561,0.00931,0.01014,0.93854,0.0005,2.89142,0.80651,7.14254,0.49513,1.57918,0.01525,0.71662,0.39273,0.0,0.10162,0.48613,0.0,0.0,0.0,0.49972,1.0,0.0,0.0
0.073,0.01313,0.01042,0.98,0.00046,3.21137,0.64339,7.17945,0.54843,1.12206,0.0142,0.73457,0.39545,0.0,0.12185,0.46178,0.0,0.0,0.0,0.51145,1.0,0.0,0.0
0.17631,0.00983,0.00992,0.98,0.00051,3.3077,0.71944,7.39095,0.51842,1.62912,0.01427,0.66537,0.39216,0.0,0.12841,0.52991,0.0,0.0,0.0,0.57349,1.0,0.0,0.0
0.0,0.01327,0.00812,0.98,0.00053,3.21374,0.66101,7.10631,0.44823,1.18722,0.01595,0.73316,0.43669,0.0,0.10953,0.47533,0.0,0.0,0.0,0.62449,0.95702,0.0,0.0
0.0,0.00986,0.00992,0.98,0.00051,3.3077,0.71884,7.39095,0.51842,1.62912,0.01415,0.66815,0.39216,0.0,0.12787,0.52926,0.0,0.0,0.0,0.57598,1.0,0.0,0.0
0.17706,0.01032,0.01003,0.90786,0.00065,3.68045,0.80086,6.48637,0.50144,1.59392,0.0148,0.69994,0.41559,0.0,0.0874,0.50049,0.0,0.0,0.0,0.49972,1.0,0.0,0.0
0.00204,0.01432,0.0109,0.95231,0.00045,3.44795,0.66628,7.13338,0.55834,1.11126,0.01595,0.77658,0.40107,0.0,0.1061,0.44179,0.0,0.0,0.0,0.5742,0.90833,0.0,0.0
0.0,0.01477,0.01347,0.97448,0.00044,3.11992,0.68331,7.24445,0.43021,1.08515,0.01467,0.9,0.40107,0.0,0.11851,0.31286,0.0,0.0,0.0,0.5742,0.71608,0.0,0.0
0.15947,0.01348,0.0102,0.98,0.00044,3.28723,0.68903,7.21188,0.67027,1.02481,0.01595,0.60226,0.47654,0.0,0.10621,0.44179,0.0,0.0,0.0,0.41353,1.0,0.0,0.0
0.05103,0.01032,0.01275,0.98,0.00065,3.97659,0.71004,4.17312,0.44814,1.48438,0.01537,0.7662,0.41559,0.0,0.07869,0.59325,0.0,0.0,0.0,0.63632,0.73493,0.0,0.0
0.16063,0.01001,0.01001,0.94686,0.00055,2.95287,0.74497,7.49558,0.51666,1.42919,0.0148,0.61603,0.41572,0.0,0.11111,0.4599,0.0,0.0,0.0,0.54138,0.95781,0.0,0.0
0.17019,0.01385,0.00846,0.98,0.00046,3.81326,0.8161,5.79608,0.61111,1.08515,0.01595,0.9,0.45359,0.0,0.09037,0.44179,0.0,0.0,0.0,0.5604,1.0,0.0,0.0
0.0,0.01296,0.01091,0.96642,0.00049,2.57114,0.64974,5.72917,0.52085,0.92329,0.01595,0.76196,0.38534,0.0,0.11288,0.41247,0.0,0.0,0.0,0.5742,1.0,0.0,0.0
0.0,0.01385,0.0102,0.97302,0.00049,3.02643,0.66101,7.76137,0.54143,0.97582,0.01439,0.77658,0.40107,0.0,0.11288,0.44179,0.0,0.0,0.0,0.47727,1.0,0.0,0.0
0.20866,0.01667,0.01027,0.98,0.00037,2.50726,0.72095,6.09031,0.61199,1.08515,0.01707,0.79532,0.42669,0.0,0.10125,0.44179,0.0,0.0,0.0,0.60616,1.0,0.0,0.0
0.00086,0.0158,0.0102,0.98,0.0004,3.31432,0.67154,7.21188,0.60822,1.1879,0.01697,0.86206,0.40107,0.0,0.13014,0.43624,0.0,0.0,0.0,0.5737,1.0,0.0,0.0
0.15518,0.01319,0.0133,0.98,0.00044,4.04594,0.42455,7.21188,0.6625,1.09362,0.01293,0.69618,0.29636,0.0,0.11288,0.4961,0.0,0.0,0.0,0.62835,1.0,0.0,0.0
0.20347,0.01848,0.01027,0.97899,0.00039,2.65424,0.78432,6.09031,0.63545,1.08515,0.01431,0.84664,0.42987,0.0,0.10015,0.42224,0.0,0.0,0.0,0.64601,1.0,0.0,0.0
0.06214,0.0164,0.01057,0.98,0.00037,2.6387,0.80844,6.09031,0.62582,1.08515,0.01671,0.77398,0.45243,0.0,0.10125,0.42851,0.0,0.0,0.0,0.60616,1.0,0.0,0.0
0.00297,0.01385,0.01013,0.98,0.00044,3.18385,0.67098,7.03376,0.58761,1.16725,0.01594,0.81068,0.40107,0.0,0.11093,0.41806,0.0,0.0,0.0,0.55662,1.0,0.0,0.0
0.04736,0.01339,0.01043,0.98,0.00046,3.498,0.67561,7.02274,0.56138,1.03079,0.01452,0.8216,0.4253,0.0,0.11288,0.48877,0.0,0.0,0.0,0.5742,0.92803,0.0,0.0
0.05052,0.01385,0.00848,0.97731,0.00049,4.12303,0.7951,5.57011,0.55834,0.8825,0.01462,0.77658,0.34551,0.0,0.11288,0.50169,0.0,0.0,0.0,0.52941,1.0,0.0,0.0
0.11709,0.01848,0.01008,0.98,0.00038,2.88231,0.78154,6.09031,0.62355,1.07104,0.0141,0.84664,0.43999,0.0,0.10518,0.43738,0.0,0.0,0.0,0.60555,0.9493,0.0,0.0
0.0,0.0139,0.0102,0.98,0.00049,3.53507,0.62069,7.21188,0.52664,0.98988,0.01595,0.82968,0.4414,0.0,0.11288,0.39219,0.0,0.0,0.0,0.60853,0.99005,0.0,0.0
0.0,0.01385,0.01029,0.98,0.00047,3.20705,0.66662,7.21188,0.56559,1.11114,0.01584,0.77658,0.39582,0.0,0.11288,0.44223,0.0,0.0,0.0,0.5742,0.99063,0.0,0.0
0.13999,0.01534,0.01061,0.93027,0.00037,2.50726,0.72095,5.62863,0.61199,0.94729,0.01503,0.8687,0.45846,0.0,0.09723,0.46172,0.0,0.0,0.0,0.60079,0.99936,0.0,0.0
0.14565,0.0148,0.01108,0.98,0.00037,2.83365,0.72095,5.59704,0.59184,1.08515,0.01745,0.73343,0.36047,0.0,0.09264,0.45461,0.0,0.0,0.0,0.59055,1.0,0.0,0.0
0.15499,0.01428,0.0102,0.98,0.00044,3.32573,0.59799,7.14397,0.55472,1.05288,0.01605,0.77331,0.3829,0.0,0.11573,0.46437,0.0,0.0,0.0,0.58645,1.0,0.0,0.0
0.04824,0.01385,0.01112,0.98,0.00051,3.21086,0.66101,7.81079,0.66243,1.07784,0.01611,0.77658,0.4032,0.0,0.1113,0.40184,0.0,0.0,0.0,0.61587,1.0,0.0,0.0
0.01807,0.02108,0.00621,0.95167,0.00039,2.62961,0.73062,5.26161,0.5446,0.88845,0.01316,0.81171,0.46394,0.0,0.10973,0.43687,0.0,0.0,0.0,0.64233,1.0,0.0,0.0
0.13593,0.01684,0.01017,0.96265,0.00032,2.44726,0.72095,5.9249,0.63984,1.08515,0.01579,0.79532,0.42669,0.0,0.09862,0.46082,0.0,0.0,0.0,0.5881,0.91441,0.0,0.0
0.04312,0.01211,0.01417,0.98,0.00035,3.668,0.77068,5.94798,0.44103,1.39619,0.01595,0.89413,0.40454,0.0,0.09667,0.44058,0.0,0.0,0.0,0.63563,0.97534,0.0,0.0
0.0,0.02558,0.01027,0.97899,0.00039,2.00566,0.95,6.81714,0.63545,0.90828,0.01509,0.9,0.42857,0.0,0.12145,0.5584,0.0,0.0,0.0,0.64601,0.77722,0.0,0.0
0.0,0.01483,0.01063,0.98,0.00042,3.21137,0.61216,7.21188,0.55834,0.99076,0.01595,0.76668,0.40107,0.0,0.09945,0.42312,0.0,0.0,0.0,0.59413,0.93025,0.0,0.0
0.02472,0.01124,0.00881,0.98,0.00042,2.73299,0.80842,7.92329,0.52255,0.89357,0.01595,0.77658,0.41738,0.0,0.13248,0.52698,0.0,0.0,0.0,0.53404,1.0,0.0,0.0
0.0273,0.01244,0.00956,0.96225,0.00046,3.55055,0.66472,7.21188,0.50144,1.16532,0.01722,0.8637,0.40503,0.0,0.11288,0.46709,0.0,0.0,0.0,0.57485,0.9144,0.0,0.0
0.06506,0.01256,0.0102,0.98,0.00047,3.98232,0.61064,8.1348,0.55362,1.06143,0.01557,0.71966,0.39553,0.0,0.10997,0.44179,0.0,0.0,0.0,0.57912,1.0,0.0,0.0
0.09952,0.01385,0.00988,0.98,0.00055,2.9679,0.58864,7.93495,0.57914,1.08515,0.01673,0.77658,0.29069,0.0,0.1494,0.44179,0.0,0.0,0.0,0.60891,0.92986,0.0,0.0
0.20547,0.01686,0.0102,0.94121,0.00047,2.28341,0.66101,7.99102,0.5355,1.25165,0.0139,0.77189,0.40107,0.0,0.136,0.38216,0.0,0.0,0.0,0.5742,0.82735,0.0,0.0
0.18148,0.01686,0.01009,0.94256,0.00047,2.36615,0.64374,7.19511,0.54664,1.24771,0.01437,0.73702,0.41318,0.0,0.14196,0.36046,0.0,0.0,0.0,0.53035,0.81458,0.0,0.0
