                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9729,                 3.0913,                0.75885,                0.39286,                0.02676,                0.20497,                0.08256,                 2.0234,                 4.9888,                0.75486,               0.078328,             0.00071642,             0.00071642
                      2,                 1.8273,                 1.7213,                0.71661,                0.72794,                 0.3747,                0.50755,                0.18251,                 2.0482,                 2.2481,                0.82376,               0.056248,              0.0013969,              0.0013969
                      3,                 1.8103,                 1.6168,                0.71352,                0.46021,                0.44161,                0.34782,                 0.1459,                  1.797,                  2.068,                0.75281,               0.034119,              0.0020291,              0.0020291
                      4,                 1.7628,                 1.5246,                0.71232,                0.54159,                0.49586,                0.45304,                 0.1773,                 1.9258,                 1.8722,                0.74507,               0.011941,              0.0026131,              0.0026131
                      5,                 1.7954,                   1.58,                0.69818,                 0.5895,                0.56326,                0.56655,                0.23848,                 1.9033,                 1.5802,                0.77991,              0.0027759,              0.0027759,              0.0027759
                      6,                 1.7332,                  1.419,                0.68819,                0.58076,                0.57298,                0.56498,                0.24056,                 1.7229,                 1.4454,                0.73307,              0.0027759,              0.0027759,              0.0027759
                      7,                 1.6854,                 1.4243,                0.69651,                0.61989,                0.54745,                0.56316,                0.22641,                 1.7831,                 1.6299,                0.72826,              0.0026698,              0.0026698,              0.0026698
                      8,                 1.6436,                 1.3269,                 0.6829,                0.62375,                0.58759,                0.59036,                0.25788,                 1.6895,                 1.3992,                0.70976,              0.0025638,              0.0025638,              0.0025638
                      9,                 1.5962,                 1.2431,                  0.693,                0.64832,                0.59732,                0.58145,                0.24772,                 1.7194,                 1.6583,                 0.7202,              0.0024578,              0.0024578,              0.0024578
                     10,                   1.63,                 1.3445,                0.68087,                0.64465,                0.62774,                0.63328,                0.29265,                 1.6484,                 1.3888,                0.71684,              0.0023518,              0.0023518,              0.0023518
                     11,                 1.5805,                 1.2588,                0.67095,                0.62533,                0.57054,                 0.5512,                0.20089,                 1.7755,                 1.7171,                0.71503,              0.0022457,              0.0022457,              0.0022457
                     12,                 1.5652,                 1.2134,                0.66838,                0.62561,                0.63139,                0.60796,                0.27405,                 1.6209,                 1.3533,                0.69301,              0.0021397,              0.0021397,              0.0021397
                     13,                 1.5746,                 1.2163,                0.66574,                0.67171,                0.61679,                0.65492,                0.30233,                 1.6747,                 1.3503,                0.70116,              0.0020337,              0.0020337,              0.0020337
                     14,                 1.5382,                 1.1718,                 0.6561,                0.65495,                0.67883,                0.68686,                0.32788,                 1.5619,                  1.223,                0.69443,              0.0019276,              0.0019276,              0.0019276
                     15,                 1.5335,                 1.1622,                0.67288,                0.63562,                 0.6618,                0.65887,                0.31608,                 1.5724,                 1.3163,                 0.6968,              0.0018216,              0.0018216,              0.0018216
                     16,                  1.516,                 1.1737,                0.68213,                0.65924,                0.66302,                0.68128,                0.33789,                 1.5581,                  1.267,                0.69471,              0.0017156,              0.0017156,              0.0017156
                     17,                 1.4991,                 1.1357,                0.66082,                0.69578,                0.68127,                 0.7105,                0.35013,                 1.5542,                 1.2294,                0.69659,              0.0016095,              0.0016095,              0.0016095
                     18,                 1.4975,                 1.1152,                0.66236,                0.64012,                 0.6472,                0.68331,                0.32439,                 1.5657,                 1.2609,                0.69079,              0.0015035,              0.0015035,              0.0015035
                     19,                 1.4884,                 1.1059,                0.64728,                0.68619,                0.68127,                0.70023,                0.33645,                 1.5886,                 1.2174,                0.69492,              0.0013975,              0.0013975,              0.0013975
                     20,                 1.4415,                 1.0757,                0.64699,                0.68796,                0.67883,                0.71842,                0.36073,                   1.54,                 1.1981,                 0.6919,              0.0012914,              0.0012914,              0.0012914
                     21,                 1.4261,                 1.0777,                0.64177,                0.70658,                0.67153,                 0.7211,                0.34811,                 1.5628,                 1.1941,                0.69255,              0.0011854,              0.0011854,              0.0011854
                     22,                 1.4055,                 1.0481,                0.64584,                0.68865,                0.68613,                0.70969,                0.35085,                 1.5613,                 1.2457,                0.69929,              0.0010794,              0.0010794,              0.0010794
                     23,                 1.3793,                 1.0474,                0.63703,                0.70397,                0.67762,                0.71961,                0.35163,                 1.5525,                 1.2392,                0.70467,             0.00097335,             0.00097335,             0.00097335
                     24,                 1.3976,                 1.0233,                0.63807,                0.71992,                0.70043,                  0.739,                0.37981,                 1.4926,                 1.1604,                0.69352,             0.00086732,             0.00086732,             0.00086732
                     25,                 1.3707,                0.95608,                0.63425,                0.72046,                0.70233,                0.74276,                0.38134,                 1.4782,                 1.1911,                0.68902,             0.00076129,             0.00076129,             0.00076129
                     26,                  1.368,                0.94909,                0.62906,                0.71873,                0.67518,                0.73275,                0.37615,                 1.4782,                 1.1535,                0.68729,             0.00065526,             0.00065526,             0.00065526
                     27,                 1.3416,                0.93616,                0.62561,                 0.7346,                0.69465,                0.74629,                0.38235,                 1.5044,                 1.1276,                0.68548,             0.00054923,             0.00054923,             0.00054923
                     28,                 1.3337,                0.91927,                0.62995,                0.70212,                0.73406,                0.75662,                0.39254,                 1.4765,                 1.1469,                0.69516,              0.0004432,              0.0004432,              0.0004432
                     29,                 1.3207,                0.93706,                0.62631,                0.72829,                0.73236,                0.76333,                 0.3979,                 1.4773,                 1.0993,                 0.6887,             0.00033716,             0.00033716,             0.00033716
                     30,                  1.291,                 0.9063,                0.63091,                0.73585,                0.72384,                0.77003,                0.40786,                 1.4353,                 1.0665,                0.67603,             0.00023113,             0.00023113,             0.00023113
