                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.49543,                 21.616,                0.21618,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00063391,             0.00063391,             0.00063391
                      2,                0.76005,                 1.2878,                0.28527,                      0,                      0,                      0,                      0,                0.19243,                 0.3738,                 0.0531,              0.0012474,              0.0012474,              0.0012474
                      3,                0.58292,                0.96139,                0.18047,                      0,                      0,                      0,                      0,                0.21928,                0.38723,                0.06435,              0.0018356,              0.0018356,              0.0018356
                      4,                0.22141,                0.42818,                0.06615,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018808,              0.0018808,              0.0018808
                      5,                 0.5409,                0.92435,                0.16437,                      0,                      0,                      0,                      0,                0.19226,                0.36546,                0.05616,              0.0018808,              0.0018808,              0.0018808
                      6,                0.62933,                 1.0427,                0.23475,                      0,                      0,                      0,                      0,                0.22244,                0.35164,                0.06004,              0.0018411,              0.0018411,              0.0018411
                      7,                0.63374,                 1.0489,                 0.1849,                      0,                      0,                      0,                      0,                0.17332,                0.37402,                0.05347,              0.0018014,              0.0018014,              0.0018014
                      8,                0.71578,                 1.1667,                0.27492,                      0,                      0,                      0,                      0,                0.21485,                0.32236,                0.05652,              0.0017616,              0.0017616,              0.0017616
                      9,                0.71101,                 1.1465,                0.24336,                      0,                      0,                      0,                      0,                0.17468,                0.40749,                0.05486,              0.0017219,              0.0017219,              0.0017219
                     10,                0.66452,                0.95257,                0.18949,                      0,                      0,                      0,                      0,                 0.1603,                0.28988,                0.05183,              0.0016822,              0.0016822,              0.0016822
                     11,                0.51383,                0.87458,                0.18789,                      0,                      0,                      0,                      0,                 0.1852,                0.30379,                0.05491,              0.0016425,              0.0016425,              0.0016425
                     12,                 0.7423,                 1.2413,                0.27243,                      0,                      0,                      0,                      0,                0.15984,                0.44311,                0.05673,              0.0016027,              0.0016027,              0.0016027
                     13,                0.48805,                0.85714,                0.15496,                      0,                      0,                      0,                      0,                0.21903,                0.29436,                0.05601,               0.001563,               0.001563,               0.001563
                     14,                 0.6096,                0.89813,                0.21345,                      0,                      0,                      0,                      0,                  0.172,                0.27575,                0.05185,              0.0015233,              0.0015233,              0.0015233
                     15,                0.39115,                0.60281,                0.11986,                      0,                      0,                      0,                      0,                0.16554,                0.31808,                0.05273,              0.0014835,              0.0014835,              0.0014835
                     16,                 0.8355,                 1.2521,                0.31011,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0014438,              0.0014438,              0.0014438
