fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.0,0.00928,0.00853,0.91707,0.00056,3.0,0.8,6.79269,0.56242,1.31127,0.015,0.66728,0.40556,0.0,0.1,0.51226,0.0,0.0,0.0,0.43893,1.0,0.0,0.0
0.0,0.00987,0.01158,0.93981,0.00051,3.0,0.74233,7.92295,0.54379,1.39657,0.01684,0.7,0.42945,0.0,0.09071,0.48204,0.0,0.0,0.0,0.5,0.9758,0.0,0.0
0.0,0.00939,0.01,0.937,0.0005,3.0,0.777,7.5,0.51977,1.54352,0.01536,0.72699,0.3854,0.0,0.1,0.51406,0.0,0.0,0.0,0.5,0.98411,0.0,0.0
0.0,0.01,0.00939,0.94914,0.00052,2.98104,0.70039,7.16866,0.5,1.52342,0.0157,0.74238,0.44371,0.0,0.1,0.55173,0.0,0.0,0.0,0.49642,1.0,0.0,0.0
0.0,0.00976,0.00887,0.91707,0.00056,2.77715,0.8,8.60084,0.67492,1.19066,0.01978,0.73305,0.38866,0.0,0.09986,0.51226,0.0,0.0,0.0,0.30233,0.66264,0.0,0.0
0.0,0.01198,0.00918,0.89621,0.00052,3.15145,0.84115,7.27252,0.45175,1.58613,0.01831,0.56518,0.50929,0.0,0.08656,0.41194,0.0,0.0,0.0,0.43893,1.0,0.0,0.0
0.0,0.01053,0.00596,0.91707,0.00053,4.34415,0.89268,6.53521,0.41832,1.66013,0.0151,0.52071,0.40556,0.0,0.09887,0.67157,0.0,0.0,0.0,0.4482,1.0,0.0,0.0
0.0,0.01005,0.01042,0.89456,0.00046,3.08619,0.59405,6.40541,0.50026,1.70376,0.01776,0.65819,0.51054,0.0,0.1,0.60481,0.0,0.0,0.0,0.46256,0.97257,0.0,0.0
0.03947,0.00992,0.01009,0.9495,0.00045,3.0,0.76801,8.32988,0.48242,1.37803,0.01521,0.74691,0.4306,0.0,0.10497,0.57257,0.0,0.0,0.0,0.56506,1.0,0.0,0.0
0.0,0.00992,0.00934,0.96366,0.00045,2.84095,0.73148,8.32988,0.48242,1.33382,0.01575,0.74691,0.44067,0.0,0.10497,0.57257,0.0,0.0,0.0,0.57014,1.0,0.0,0.0
0.16222,0.00966,0.01017,0.94579,0.00046,2.91605,0.76801,8.32988,0.49797,1.37803,0.0152,0.74691,0.4306,0.0,0.1084,0.57164,0.0,0.0,0.0,0.56029,1.0,0.0,0.0
0.0,0.01018,0.00959,0.94579,0.00046,2.68603,0.7436,10.40478,0.47715,1.37803,0.01486,0.78449,0.46257,0.0,0.10627,0.57454,0.0,0.0,0.0,0.55531,0.98617,0.0,0.0
0.0,0.00966,0.01141,0.98,0.00045,2.91605,0.76801,7.74718,0.64072,1.25526,0.01723,0.60149,0.41463,0.0,0.12173,0.62659,0.0,0.0,0.0,0.54398,1.0,0.0,0.0
0.0,0.01015,0.01007,0.94579,0.00067,2.91605,0.69999,7.75037,0.40968,1.30853,0.01261,0.9,0.44947,0.0,0.13248,0.71533,0.0,0.0,0.0,0.55498,0.91134,0.0,0.0
0.0,0.01101,0.00836,0.95966,0.00049,2.912,0.59741,8.28471,0.48588,1.37803,0.01429,0.74691,0.45016,0.0,0.11642,0.57257,0.0,0.0,0.0,0.58379,1.0,0.0,0.0
0.0,0.0098,0.01017,0.94579,0.00046,3.40141,0.86259,8.32988,0.49797,1.55692,0.01611,0.80056,0.39603,0.0,0.0848,0.58671,0.0,0.0,0.0,0.58586,0.8921,0.0,0.0
0.07233,0.01043,0.00882,0.9593,0.00041,2.91856,0.72717,7.62101,0.54585,1.48566,0.01642,0.70111,0.51673,0.0,0.11104,0.5523,0.0,0.0,0.0,0.54577,1.0,0.0,0.0
0.0,0.00993,0.01286,0.93703,0.00042,2.15912,0.76801,9.76157,0.48242,1.37803,0.01874,0.74691,0.32204,0.0,0.13815,0.58705,0.0,0.0,0.0,0.51152,1.0,0.0,0.0
0.0,0.01045,0.00882,0.9593,0.00047,3.24102,0.72717,6.92234,0.51592,1.63722,0.01458,0.78335,0.51673,0.0,0.11642,0.55684,0.0,0.0,0.0,0.54577,1.0,0.0,0.0
0.0,0.00992,0.01099,0.95767,0.00051,2.51752,0.68809,9.44393,0.46699,1.08692,0.01465,0.82283,0.31128,0.0,0.11654,0.58773,0.0,0.0,0.0,0.42989,0.85693,0.0,0.0
0.0,0.00909,0.00984,0.92584,0.00046,2.10372,0.76801,7.49873,0.41048,1.52899,0.01356,0.83204,0.37784,0.0,0.1084,0.52777,0.0,0.0,0.0,0.51865,1.0,0.0,0.0
0.0,0.01016,0.00968,0.9642,0.00046,3.12008,0.69746,8.32988,0.54982,1.37803,0.01541,0.69752,0.28587,0.0,0.1493,0.57164,0.0,0.0,0.0,0.3475,1.0,0.0,0.0
0.0,0.00956,0.01023,0.94579,0.00046,2.90044,0.75399,8.39928,0.50973,1.44692,0.01459,0.74524,0.43226,0.0,0.10674,0.56315,0.0,0.0,0.0,0.56029,1.0,0.0,0.0
0.0,0.00966,0.01017,0.93881,0.00053,3.12938,0.78413,8.96874,0.4619,1.1539,0.01572,0.74691,0.49488,0.0,0.11672,0.68552,0.0,0.0,0.0,0.55453,1.0,0.0,0.0
0.0,0.01196,0.00858,0.91972,0.00046,2.85417,0.46068,8.32988,0.2997,1.52001,0.01436,0.74691,0.35875,0.0,0.1084,0.63601,0.0,0.0,0.0,0.35385,1.0,0.0,0.0
0.37716,0.01161,0.00682,0.98,0.00023,3.13339,0.74223,7.06753,0.47846,1.37803,0.0183,0.9,0.55823,0.0,0.11122,0.57164,0.0,0.0,0.0,0.56029,1.0,0.0,0.0
0.0,0.01161,0.00682,0.98,0.00027,3.13339,0.64924,6.87608,0.43527,1.14306,0.01083,0.9,0.55823,0.0,0.11176,0.57164,0.0,0.0,0.0,0.81319,1.0,0.0,0.0
0.0,0.00795,0.00805,0.8728,0.0005,2.49355,0.7544,8.32988,0.45836,1.41994,0.01601,0.85977,0.51276,0.0,0.07934,0.81278,0.0,0.0,0.0,0.57854,1.0,0.0,0.0
0.0,0.00928,0.00752,0.98,0.00027,2.41272,0.48858,5.544,0.6513,1.44663,0.0183,0.9,0.55662,0.0,0.12922,0.53267,0.0,0.0,0.0,0.59917,1.0,0.0,0.0
0.0,0.00991,0.01017,0.937,0.00046,2.8992,0.78213,8.65846,0.49432,1.4149,0.01591,0.74691,0.42466,0.0,0.10982,0.57164,0.0,0.0,0.0,0.54177,0.97737,0.0,0.0
0.0,0.00958,0.01009,0.92504,0.00049,2.25936,0.60624,9.78001,0.56023,1.62173,0.01521,0.62018,0.46718,0.0,0.06152,0.52923,0.0,0.0,0.0,0.47766,1.0,0.0,0.0
0.0,0.01161,0.00799,0.93241,0.00024,3.13339,0.88202,6.07941,0.47629,1.35165,0.01792,0.9,0.59598,0.0,0.11102,0.60743,0.0,0.0,0.0,0.60556,1.0,0.0,0.0
0.0,0.01052,0.01336,0.93212,0.00035,2.78983,0.76119,8.32988,0.49797,1.41744,0.01574,0.57594,0.4046,0.0,0.119,0.57164,0.0,0.0,0.0,0.58298,1.0,0.0,0.0
0.0,0.01241,0.00682,0.96781,0.00023,3.08237,0.72961,6.61542,0.45681,1.35673,0.01642,0.82399,0.54963,0.0,0.10792,0.57284,0.0,0.0,0.0,0.56029,1.0,0.0,0.0
0.0,0.01179,0.00715,0.98,0.00022,3.13339,0.77191,7.04808,0.53153,1.51808,0.0183,0.9,0.55823,0.0,0.11042,0.61044,0.0,0.0,0.0,0.58026,0.90172,0.0,0.0
0.0,0.01196,0.00692,0.98,0.00023,3.13339,0.76046,6.862,0.47724,1.40778,0.01879,0.89231,0.55823,0.0,0.11144,0.5761,0.0,0.0,0.0,0.54462,1.0,0.0,0.0
0.0,0.01118,0.01066,0.94672,0.00038,3.12908,0.63191,6.4833,0.49996,1.35661,0.0152,0.65945,0.48039,0.0,0.12284,0.72834,0.0,0.0,0.0,0.56029,0.79005,0.0,0.0
0.0,0.01161,0.00632,0.98,0.00029,3.13339,0.84028,7.06753,0.52945,1.61543,0.01991,0.83652,0.4211,0.0,0.08628,0.57882,0.0,0.0,0.0,0.52036,1.0,0.0,0.0
0.0,0.01209,0.00611,0.96324,0.00021,3.15287,0.73948,6.94317,0.47993,1.33051,0.02027,0.9,0.60183,0.0,0.11122,0.67196,0.0,0.0,0.0,0.64222,1.0,0.0,0.0
0.0,0.00904,0.01216,0.91389,0.00045,3.49557,0.69328,7.25121,0.53056,1.24738,0.01266,0.89278,0.51898,0.0,0.1084,0.57164,0.0,0.0,0.0,0.5607,1.0,0.0,0.0
0.0,0.01058,0.01017,0.96445,0.00047,3.26863,0.76801,8.32988,0.50618,1.4507,0.01462,0.79416,0.48865,0.0,0.1084,0.64856,0.0,0.0,0.0,0.53483,1.0,0.0,0.0
0.0,0.00941,0.0109,0.94579,0.00045,2.50322,0.70347,8.32988,0.46942,1.32993,0.01685,0.75729,0.35079,0.0,0.1084,0.57164,0.0,0.0,0.0,0.50449,1.0,0.0,0.0
0.0,0.00961,0.01027,0.93411,0.00046,3.02745,0.79907,8.20265,0.51902,1.45263,0.01445,0.70798,0.44489,0.0,0.11377,0.55466,0.0,0.0,0.0,0.61665,0.95355,0.0,0.0
0.0,0.01225,0.00682,0.98,0.00023,2.57848,0.71007,6.28867,0.62751,1.55941,0.02351,0.72308,0.59753,0.0,0.09175,0.61969,0.0,0.0,0.0,0.51048,0.89843,0.0,0.0
