fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.33307,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.33307,0.01,0.00993,0.93635,0.0005,2.96656,0.8072,7.5,0.5,1.49016,0.01506,0.70203,0.399,0.0,0.10126,0.49739,0.0,0.0,0.0,0.49816,1.0,0.0,0.0
0.33307,0.00998,0.00951,0.97335,0.00059,3.41608,0.59874,6.18591,0.46849,1.99601,0.015,0.7,0.4,0.0,0.1,0.45273,0.0,0.0,0.0,0.39544,0.96429,0.0,0.0
0.33307,0.0118,0.01093,0.92111,0.00051,3.15612,0.8,7.42268,0.46629,1.67762,0.015,0.5818,0.4824,0.0,0.10449,0.5,0.0,0.0,0.0,0.62141,1.0,0.0,0.0
0.33307,0.01559,0.01274,0.90928,0.00055,3.4552,0.73683,6.94002,0.37613,1.67762,0.01343,0.55541,0.45937,0.0,0.12518,0.50131,0.0,0.0,0.0,0.66189,0.79705,0.0,0.0
0.33307,0.015,0.01519,0.95827,0.00054,3.4552,0.54992,6.04493,0.37613,1.19636,0.01343,0.43907,0.43352,0.0,0.12908,0.50301,0.0,0.0,0.0,0.6047,0.72819,0.0,0.0
0.33307,0.00844,0.01044,0.93748,0.00044,2.96656,0.8072,7.3558,0.53778,1.49016,0.01506,0.73319,0.399,0.0,0.10332,0.56333,0.0,0.0,0.0,0.46348,0.98234,0.0,0.0
0.33307,0.00957,0.01019,0.9346,0.00051,3.0,0.7918,7.51188,0.49319,1.50845,0.015,0.7,0.37195,0.0,0.09537,0.49954,0.0,0.0,0.0,0.5,0.97663,0.0,0.0
0.33307,0.01096,0.0112,0.96047,0.00045,3.15612,0.76108,7.27728,0.46629,1.67762,0.015,0.5818,0.42478,0.0,0.10877,0.65943,0.0,0.0,0.0,0.62665,0.90063,0.0,0.0
0.33307,0.0118,0.01253,0.94357,0.00054,3.56822,0.89752,8.3503,0.4316,1.82278,0.01404,0.65194,0.44891,0.0,0.08637,0.4578,0.0,0.0,0.0,0.61362,1.0,0.0,0.0
0.33307,0.01412,0.00932,0.92174,0.00051,3.30266,0.95,7.16075,0.46629,1.67762,0.015,0.35904,0.4824,0.0,0.11193,0.5,0.0,0.0,0.0,0.36251,0.78277,0.0,0.0
0.33307,0.0138,0.01093,0.96059,0.00041,3.15612,0.95,8.91198,0.47967,1.67762,0.01135,0.69262,0.60591,0.0,0.09632,0.55726,0.0,0.0,0.0,0.73942,0.91122,0.0,0.0
0.33307,0.01559,0.01544,0.91425,0.00055,3.51895,0.73683,7.43897,0.38698,1.50964,0.01229,0.54861,0.45937,0.0,0.1161,0.51771,0.0,0.0,0.0,0.66189,0.80795,0.0,0.0
0.33307,0.00876,0.01221,0.85336,0.0005,3.3289,0.67079,7.5,0.46461,1.38096,0.01531,0.47574,0.38264,0.0,0.11256,0.37616,0.0,0.0,0.0,0.54293,1.0,0.0,0.0
0.33307,0.01017,0.00996,0.93602,0.0005,3.13825,0.80847,7.46214,0.50964,1.54446,0.01521,0.70514,0.39136,0.0,0.09855,0.5172,0.0,0.0,0.0,0.48833,0.9648,0.0,0.0
