                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7183,                 6.2467,                0.94817,                0.00694,                0.68856,                0.03515,                0.01373,                 1.5721,                  7.362,                0.90378,             0.00056338,             0.00056338,             0.00056338
                      2,                 1.6413,                 4.0336,                0.93372,                0.63587,                0.42944,                0.48064,                0.17651,                 1.7103,                 3.4656,                0.99571,              0.0011305,              0.0011305,              0.0011305
                      3,                 1.5775,                 3.0498,                0.93618,                0.50769,                0.50308,                0.46614,                0.19208,                 1.5701,                 2.7436,                0.97302,               0.001692,               0.001692,               0.001692
                      4,                 1.6085,                 2.7378,                0.93438,                0.62121,                0.50078,                0.51779,                0.20302,                 1.6823,                 2.6897,                 1.0075,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.5457,                 2.2849,                0.91591,                0.57457,                0.54136,                0.53298,                0.22457,                 1.5567,                 2.3137,                0.96039,              0.0019703,              0.0019703,              0.0019703
                      6,                 1.5353,                 2.1014,                0.93479,                0.59266,                0.56569,                0.55907,                0.23085,                 1.6013,                 2.0832,                0.97111,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.5489,                 2.0779,                0.92305,                0.06198,                0.51095,                0.04579,                0.01826,                 1.6528,                 23.293,                 2.0667,              0.0019505,              0.0019505,              0.0019505
                      8,                 1.5134,                 1.9608,                0.90371,                0.61054,                0.52798,                0.52726,                0.20985,                 1.7223,                 1.9853,                0.97853,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.5039,                 1.9319,                0.91061,                 0.6333,                0.59124,                0.59752,                0.27706,                 1.4896,                 1.8108,                0.95235,              0.0019307,              0.0019307,              0.0019307
                     10,                  1.473,                 1.9065,                0.90533,                0.51692,                0.50365,                 0.5115,                 0.2337,                 1.5217,                 1.9418,                0.93559,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.4609,                 1.8334,                0.89542,                0.66767,                0.63504,                0.65594,                 0.3081,                 1.4363,                 1.8093,                0.92506,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.4435,                 1.8263,                0.87952,                0.61151,                0.63625,                0.58776,                0.24481,                 1.5145,                 2.1733,                 0.9249,               0.001901,               0.001901,               0.001901
                     13,                 1.4648,                 1.8803,                0.90065,                0.68517,                0.59367,                0.64853,                0.29776,                  1.419,                 1.8766,                0.92748,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.4571,                 1.8121,                0.89818,                0.62378,                0.59489,                0.59952,                0.24947,                 1.6122,                 1.7742,                0.94964,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.4781,                 1.7484,                0.90601,                0.65669,                0.64234,                0.66501,                0.30809,                 1.4704,                  1.718,                0.92795,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.4262,                  1.724,                0.87716,                0.66771,                 0.6326,                0.63888,                 0.2752,                 1.5291,                 1.7121,                0.93194,              0.0018614,              0.0018614,              0.0018614
                     17,                  1.417,                 1.6582,                0.88022,                0.63273,                0.64553,                0.61919,                0.28513,                 1.4868,                 1.7727,                0.93894,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.4848,                 1.7076,                 0.8983,                0.56415,                0.61314,                 0.5803,                 0.2715,                 1.4705,                 1.8265,                0.91434,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.4316,                 1.7336,                0.87866,                 0.5753,                0.60644,                0.54975,                0.24528,                 1.4391,                 1.9865,                0.91978,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.4119,                 1.6524,                0.86261,                0.63541,                0.57421,                 0.6233,                 0.2894,                 1.4675,                 1.8032,                0.93736,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.4316,                 1.6457,                0.87314,                0.64084,                0.65693,                0.67753,                0.32617,                 1.4552,                 1.6739,                0.92493,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.4134,                 1.6538,                0.86116,                0.66241,                0.60584,                0.65936,                0.30921,                 1.4779,                 1.7745,                0.93237,               0.001802,               0.001802,               0.001802
                     23,                 1.3799,                 1.6237,                0.87376,                0.70634,                0.63789,                0.68439,                0.30938,                 1.4165,                 1.7279,                0.90815,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.3741,                 1.5986,                0.85091,                0.65057,                0.65912,                0.67551,                0.33143,                 1.3857,                 1.6191,                0.90493,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.3677,                 1.6213,                0.86802,                0.66656,                0.69796,                0.69817,                0.32867,                 1.3981,                 1.6547,                0.90783,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.3596,                 1.6276,                0.84523,                0.66036,                0.63747,                0.66098,                 0.3169,                 1.4158,                 1.6896,                0.91509,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.3882,                  1.652,                0.86972,                0.68467,                0.67356,                0.68928,                0.32841,                  1.406,                 1.6811,                0.91771,              0.0017525,              0.0017525,              0.0017525
                     28,                  1.377,                 1.5736,                 0.8649,                0.61602,                0.62044,                0.63393,                0.30305,                 1.3973,                 1.7709,                0.90997,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.3942,                 1.6315,                 0.8454,                0.62547,                0.61922,                0.64448,                0.30466,                 1.4508,                 1.7576,                0.91686,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.3676,                 1.6136,                0.87387,                0.57097,                0.59418,                0.59298,                0.28341,                 1.4024,                 1.8317,                0.89231,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.3451,                 1.5421,                0.86915,                0.69126,                 0.6618,                 0.6913,                0.33552,                 1.4205,                 1.6128,                0.92859,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.3634,                 1.6307,                0.85068,                0.69207,                 0.6808,                0.70043,                0.33828,                 1.3644,                 1.6034,                0.90035,               0.001703,               0.001703,               0.001703
                     33,                 1.3662,                 1.5953,                0.86498,                0.62165,                0.61679,                0.63664,                0.29535,                 1.4612,                 1.7414,                 0.9251,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.3797,                 1.5985,                0.88056,                0.70817,                0.66302,                0.71349,                0.35221,                 1.3797,                 1.6215,                 0.9057,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.3511,                 1.5964,                0.87169,                0.66795,                0.67298,                0.68792,                0.33597,                 1.3517,                 1.6237,                0.89668,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.3592,                 1.5735,                0.86748,                0.71318,                0.67757,                0.71262,                0.35343,                  1.368,                  1.747,                0.92657,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.3087,                 1.5316,                0.85029,                 0.6795,                 0.6618,                0.69605,                0.32194,                 1.4508,                 1.6117,                0.93154,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.3316,                 1.5246,                0.86065,                0.66541,                0.66292,                0.67553,                0.30554,                  1.458,                 1.7097,                0.93149,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.3385,                  1.545,                0.86024,                0.69731,                0.67541,                0.69299,                0.33803,                 1.3886,                 1.6066,                0.91701,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.3426,                 1.5608,                0.87635,                0.73212,                0.64355,                0.72011,                0.36122,                 1.3631,                 1.5561,                0.91451,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.3232,                 1.5121,                0.83521,                0.68006,                0.71533,                0.72048,                 0.3442,                 1.3949,                 1.6001,                0.91773,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.3248,                 1.5058,                0.86707,                0.68963,                  0.691,                0.71927,                0.35139,                 1.3751,                 1.5716,                0.90418,               0.001604,               0.001604,               0.001604
                     43,                 1.3151,                  1.472,                0.85338,                0.69506,                  0.696,                0.72368,                0.36394,                 1.3277,                 1.5142,                0.90193,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.3135,                  1.501,                0.82714,                0.73048,                0.66302,                0.71427,                0.36101,                 1.3551,                 1.5604,                0.91189,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.3002,                 1.4965,                0.84039,                0.67801,                0.69465,                0.71547,                0.36156,                  1.363,                 1.5905,                0.90581,              0.0015743,              0.0015743,              0.0015743
                     46,                  1.296,                 1.4515,                0.82191,                0.71264,                0.69586,                0.72999,                0.36245,                 1.3507,                 1.5802,                0.90114,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.3171,                 1.4802,                0.84009,                0.68763,                0.65879,                0.69264,                0.34619,                  1.394,                 1.6041,                0.90724,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.3214,                 1.4697,                0.85965,                0.66854,                0.67231,                0.69564,                0.33115,                 1.4126,                 1.6267,                0.91726,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.3351,                 1.5092,                0.85249,                0.71964,                0.70261,                 0.7271,                0.35721,                 1.3526,                 1.5443,                 0.9033,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.3156,                 1.4366,                0.85158,                0.69495,                0.68005,                0.70928,                0.35017,                 1.3762,                 1.6289,                0.90969,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.3533,                 1.5116,                0.86484,                0.69391,                0.70879,                0.71836,                 0.3556,                 1.3687,                 1.6559,                0.90962,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.3134,                 1.4238,                0.83717,                0.69251,                0.68613,                0.71531,                0.34459,                 1.3874,                  1.546,                0.90716,               0.001505,               0.001505,               0.001505
                     53,                 1.2835,                 1.4382,                0.85228,                0.69498,                0.72019,                0.74019,                0.37312,                 1.3422,                 1.5491,                0.90211,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.2676,                 1.3819,                0.84337,                0.69486,                0.70316,                 0.7338,                0.37352,                 1.3313,                 1.5067,                0.90366,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.2937,                 1.4218,                0.83519,                0.69991,                0.59869,                0.65893,                0.30016,                 1.4418,                 1.7046,                0.91402,              0.0014753,              0.0014753,              0.0014753
                     56,                 1.2833,                 1.4544,                0.82181,                0.73971,                0.68613,                0.73302,                 0.3578,                 1.3485,                 1.5339,                0.90099,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.2893,                 1.4308,                0.83521,                 0.6979,                0.71386,                0.72625,                0.36801,                   1.32,                 1.6714,                0.89295,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.2797,                 1.4076,                0.84199,                0.69023,                0.71655,                0.71831,                0.36533,                  1.369,                 1.5129,                0.91615,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.2873,                 1.4273,                0.85126,                0.67049,                0.55961,                0.61878,                0.28581,                 1.4163,                  2.016,                0.92156,              0.0014357,              0.0014357,              0.0014357
                     60,                  1.297,                 1.4564,                0.84121,                0.70035,                0.65396,                0.71469,                0.35099,                 1.3918,                 1.5288,                0.90391,              0.0014258,              0.0014258,              0.0014258
                     61,                  1.259,                 1.3975,                0.84112,                0.71133,                0.66788,                0.71389,                0.35428,                 1.3705,                 1.5675,                0.99289,              0.0014159,              0.0014159,              0.0014159
                     62,                 1.2885,                 1.4056,                 0.8279,                0.69172,                0.68127,                0.71197,                0.34736,                 1.3986,                 1.4859,                 0.9244,               0.001406,               0.001406,               0.001406
