fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.45417,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.44915,0.0109,0.01,0.90542,0.00059,3.15023,0.76609,7.46493,0.4669,1.65598,0.01256,0.7,0.4,0.0,0.11626,0.5,0.0,0.0,0.0,0.232,1.0,0.0,0.0
0.4514,0.01209,0.0113,0.98,0.00043,3.18273,0.8,7.74603,0.41599,1.5,0.01437,0.76928,0.453,0.0,0.12715,0.6434,0.0,0.0,0.0,0.37985,0.94494,0.0,0.0
0.45014,0.01184,0.0113,0.87614,0.00036,2.03554,0.8,7.74603,0.41599,1.46676,0.01118,0.76928,0.453,0.0,0.11163,0.58965,0.0,0.0,0.0,0.33372,0.94494,0.0,0.0
0.46543,0.00952,0.01,0.937,0.00052,3.49695,0.85424,5.80083,0.69242,1.30019,0.015,0.7,0.43233,0.0,0.11295,0.56393,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.45353,0.01104,0.01236,0.93597,0.00061,3.35292,0.87863,5.80083,0.77782,1.26516,0.01487,0.7,0.43233,0.0,0.11295,0.57852,0.0,0.0,0.0,0.53376,1.0,0.0,0.0
0.45375,0.00917,0.01,0.94795,0.00055,3.49695,0.85424,6.06628,0.69242,1.06742,0.01623,0.70115,0.43233,0.0,0.12312,0.56393,0.0,0.0,0.0,0.39431,1.0,0.0,0.0
0.45526,0.01172,0.01194,0.98,0.00053,3.58599,0.76651,7.5,0.5,1.46288,0.01401,0.7262,0.46251,0.0,0.10407,0.60303,0.0,0.0,0.0,0.44379,1.0,0.0,0.0
0.45867,0.00917,0.00965,0.94991,0.00054,3.49695,0.84201,5.7023,0.67738,1.04151,0.01623,0.68473,0.44278,0.0,0.11503,0.56393,0.0,0.0,0.0,0.39431,0.89891,0.0,0.0
0.44594,0.01007,0.00961,0.93894,0.00047,3.1866,0.87323,5.86762,0.74058,1.3601,0.01509,0.6753,0.43233,0.0,0.11429,0.54458,0.0,0.0,0.0,0.48,1.0,0.0,0.0
0.45787,0.0105,0.009,0.98,0.00061,3.09089,0.86305,5.80083,0.69912,1.08483,0.015,0.7,0.49411,0.0,0.10209,0.61424,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.45324,0.01139,0.01161,0.96813,0.00052,3.49695,0.91933,5.96916,0.62156,1.03228,0.01692,0.7,0.4855,0.0,0.12313,0.53714,0.0,0.0,0.0,0.54029,1.0,0.0,0.0
0.45303,0.00965,0.01055,0.93251,0.00051,3.46733,0.83599,5.92262,0.67818,1.38227,0.01492,0.70438,0.40562,0.0,0.11295,0.5419,0.0,0.0,0.0,0.51255,0.99571,0.0,0.0
0.45535,0.00824,0.01051,0.937,0.00048,3.32947,0.85424,6.48418,0.62993,1.46423,0.01561,0.7,0.44641,0.0,0.11295,0.63888,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.45158,0.00435,0.01008,0.89387,0.00069,2.7463,0.93996,5.80083,0.56864,1.73193,0.01959,0.7,0.45199,0.0,0.11322,0.58752,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.45494,0.00917,0.00873,0.94353,0.00054,3.38023,0.88157,6.06713,0.67738,1.22556,0.01738,0.68275,0.45828,0.0,0.12391,0.53788,0.0,0.0,0.0,0.39431,0.935,0.0,0.0
0.46003,0.00876,0.00919,0.94991,0.0005,3.34132,0.84778,5.4645,0.72973,0.99867,0.01579,0.65615,0.46312,0.0,0.12119,0.56393,0.0,0.0,0.0,0.41369,0.89891,0.0,0.0
0.46121,0.01083,0.00928,0.91302,0.00059,3.14246,0.85452,6.97481,0.76886,1.7109,0.01406,0.73349,0.41972,0.0,0.11493,0.56393,0.0,0.0,0.0,0.5137,1.0,0.0,0.0
0.44816,0.00907,0.0092,0.94724,0.00051,3.34132,0.8202,5.54495,0.72973,0.99867,0.01674,0.65517,0.4537,0.0,0.12119,0.59361,0.0,0.0,0.0,0.37354,0.98553,0.0,0.0
0.45953,0.00923,0.01,0.93984,0.00052,3.80347,0.85424,5.69725,0.67827,1.30109,0.01462,0.71669,0.41372,0.0,0.11295,0.5643,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.46225,0.00952,0.00793,0.93206,0.00052,3.51693,0.95,6.04716,0.80764,1.63276,0.015,0.64255,0.45818,0.0,0.10925,0.61233,0.0,0.0,0.0,0.53268,0.58487,0.0,0.0
0.45447,0.00984,0.00909,0.937,0.0004,4.00784,0.93319,4.40594,0.69242,1.3325,0.01938,0.67026,0.38368,0.0,0.11295,0.60706,0.0,0.0,0.0,0.47791,1.0,0.0,0.0
0.45374,0.00693,0.00695,0.90284,0.00061,3.84325,0.95,4.95613,0.7387,1.65594,0.015,0.37343,0.48846,0.0,0.12233,0.60719,0.0,0.0,0.0,0.56811,0.47261,0.0,0.0
0.45251,0.01218,0.00854,0.8696,0.00071,3.36698,0.85452,7.10437,0.82034,1.71723,0.01054,0.67619,0.50255,0.0,0.11493,0.48922,0.0,0.0,0.0,0.5137,0.86072,0.0,0.0
0.4554,0.00952,0.01064,0.90063,0.00048,3.19577,0.95,5.80083,0.53598,1.30019,0.01594,0.69213,0.42434,0.0,0.12671,0.64843,0.0,0.0,0.0,0.47651,1.0,0.0,0.0
0.46409,0.00946,0.01047,0.93774,0.00065,3.29993,0.84356,7.3776,0.76886,1.57255,0.01452,0.82204,0.36267,0.0,0.11493,0.61366,0.0,0.0,0.0,0.5204,0.83384,0.0,0.0
0.46011,0.00952,0.00735,0.937,0.00059,3.78083,0.86424,5.57958,0.69242,1.33584,0.01688,0.71129,0.49042,0.0,0.12798,0.73013,0.0,0.0,0.0,0.53593,0.97521,0.0,0.0
0.45794,0.00946,0.0137,0.98,0.00045,3.29993,0.78665,8.26073,0.92054,1.57255,0.0186,0.86649,0.31455,0.0,0.11493,0.66694,0.0,0.0,0.0,0.5204,0.9225,0.0,0.0
0.45371,0.00954,0.01047,0.93774,0.00066,3.08595,0.84333,7.3776,0.7213,1.55633,0.01382,0.82204,0.36511,0.0,0.11468,0.61691,0.0,0.0,0.0,0.5204,0.83384,0.0,0.0
0.45175,0.01051,0.01047,0.93407,0.00058,4.01006,0.74135,6.63178,0.81387,1.57544,0.01296,0.82204,0.25518,0.0,0.13376,0.5907,0.0,0.0,0.0,0.5204,0.94357,0.0,0.0
0.45074,0.00952,0.01063,0.93215,0.00052,3.49695,0.85424,5.96047,0.69242,1.45961,0.01493,0.73152,0.4858,0.0,0.10612,0.58354,0.0,0.0,0.0,0.48415,0.94767,0.0,0.0
0.45789,0.00924,0.01047,0.9394,0.00065,3.22036,0.84356,7.29539,0.78212,1.54928,0.01444,0.80231,0.36267,0.0,0.1153,0.61366,0.0,0.0,0.0,0.51427,0.81598,0.0,0.0
0.45467,0.01026,0.00939,0.93986,0.0005,3.50565,0.8526,5.80083,0.7229,1.30019,0.015,0.71725,0.4194,0.0,0.12319,0.58281,0.0,0.0,0.0,0.5,0.99288,0.0,0.0
0.46606,0.00949,0.00999,0.93711,0.00052,3.49468,0.85424,5.80339,0.69242,1.29699,0.01504,0.69871,0.43187,0.0,0.1128,0.56296,0.0,0.0,0.0,0.50115,1.0,0.0,0.0
0.45186,0.00946,0.00997,0.93719,0.00052,3.49468,0.84282,5.75493,0.69378,1.3013,0.01509,0.69427,0.43102,0.0,0.11342,0.56115,0.0,0.0,0.0,0.5006,0.99685,0.0,0.0
0.45101,0.0094,0.00814,0.93138,0.00053,3.49695,0.95,5.80083,0.9706,1.42544,0.015,0.70159,0.46506,0.0,0.10057,0.58922,0.0,0.0,0.0,0.5,0.99744,0.0,0.0
0.46107,0.00951,0.00997,0.93702,0.00052,3.50202,0.85532,5.80385,0.69318,1.29502,0.01502,0.69822,0.43176,0.0,0.11282,0.56296,0.0,0.0,0.0,0.50116,1.0,0.0,0.0
0.45773,0.01134,0.0084,0.94706,0.00052,3.59929,0.88534,5.06517,0.7206,1.27757,0.015,0.72693,0.43233,0.0,0.11342,0.56393,0.0,0.0,0.0,0.52558,0.92175,0.0,0.0
0.4532,0.00977,0.00905,0.93757,0.00052,3.11485,0.85374,5.57351,0.6868,1.21774,0.01351,0.50744,0.45565,0.0,0.1128,0.5933,0.0,0.0,0.0,0.50115,1.0,0.0,0.0
0.45959,0.00949,0.01024,0.94066,0.00052,3.45335,0.82821,5.6698,0.68844,1.3613,0.01584,0.68356,0.42869,0.0,0.10863,0.54096,0.0,0.0,0.0,0.50115,1.0,0.0,0.0
0.4582,0.00917,0.01047,0.9488,0.00083,3.96778,0.86294,7.3776,0.72511,1.42767,0.01452,0.87115,0.37608,0.0,0.11493,0.61366,0.0,0.0,0.0,0.61878,0.83384,0.0,0.0
0.45407,0.00885,0.01063,0.93711,0.00057,3.36571,0.63622,4.9019,1.00551,1.47211,0.01504,0.77876,0.43193,0.0,0.15038,0.52603,0.0,0.0,0.0,0.44727,1.0,0.0,0.0
0.45615,0.00948,0.00793,0.93231,0.00053,3.39756,0.95,6.04716,0.7405,1.63299,0.01487,0.66435,0.43579,0.0,0.11742,0.60839,0.0,0.0,0.0,0.49932,0.60074,0.0,0.0
0.4587,0.00722,0.01,0.937,0.00032,3.49695,0.88254,7.48436,0.69242,1.53025,0.01635,0.7,0.42806,0.0,0.15728,0.62859,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.44948,0.00992,0.01029,0.96005,0.0005,3.39995,0.87082,6.05475,0.69242,1.17339,0.01504,0.73521,0.43678,0.0,0.12087,0.53288,0.0,0.0,0.0,0.51798,0.96843,0.0,0.0
0.45974,0.00952,0.00983,0.937,0.00051,3.53376,0.89618,5.80083,0.71459,1.32907,0.0156,0.712,0.39192,0.0,0.11295,0.56393,0.0,0.0,0.0,0.47717,0.95079,0.0,0.0
0.45781,0.008,0.00744,0.89962,0.00047,2.66177,0.95,6.04079,0.65638,1.63276,0.015,0.64255,0.46998,0.0,0.11423,0.62565,0.0,0.0,0.0,0.62298,0.58487,0.0,0.0
0.46396,0.00952,0.00839,0.90659,0.00054,3.88765,0.95,6.8328,0.77565,1.31345,0.01421,0.65245,0.49561,0.0,0.11408,0.57317,0.0,0.0,0.0,0.4583,0.58251,0.0,0.0
0.45807,0.00949,0.00986,0.94515,0.00052,3.36924,0.83246,5.80339,0.69242,1.22281,0.01504,0.69871,0.42324,0.0,0.11234,0.55863,0.0,0.0,0.0,0.49688,1.0,0.0,0.0
0.44842,0.00952,0.01,0.98,0.00044,4.62887,0.80266,6.5588,0.69242,0.94335,0.01361,0.49946,0.43233,0.0,0.10858,0.49881,0.0,0.0,0.0,0.4671,1.0,0.0,0.0
0.45802,0.00935,0.0099,0.93711,0.00051,3.46685,0.84633,5.79797,0.68094,1.29844,0.01488,0.69617,0.43701,0.0,0.1128,0.56296,0.0,0.0,0.0,0.50325,1.0,0.0,0.0
0.45504,0.01011,0.01023,0.88669,0.00053,3.26506,0.78336,4.41998,0.82086,1.37041,0.01299,0.69871,0.43378,0.0,0.11067,0.53939,0.0,0.0,0.0,0.50115,1.0,0.0,0.0
0.44726,0.00984,0.00975,0.93953,0.00055,3.10384,0.90686,5.74212,0.66931,1.46562,0.01633,0.7,0.46345,0.0,0.11295,0.5378,0.0,0.0,0.0,0.47769,1.0,0.0,0.0
0.45329,0.00867,0.00839,0.88144,0.00054,3.21312,0.90276,7.62075,0.68986,1.31345,0.01389,0.62892,0.50843,0.0,0.10529,0.59908,0.0,0.0,0.0,0.48255,0.75035,0.0,0.0
0.45441,0.00807,0.01066,0.937,0.00058,3.33742,0.79168,4.99156,0.7064,1.97168,0.01585,0.83812,0.43963,0.0,0.11912,0.60055,0.0,0.0,0.0,0.5,0.92871,0.0,0.0
0.45248,0.01112,0.00839,0.85692,0.00044,3.88765,0.95,5.35593,0.78418,1.42524,0.01421,0.65669,0.43631,0.0,0.11408,0.57317,0.0,0.0,0.0,0.4583,0.51696,0.0,0.0
0.45427,0.00941,0.01011,0.93711,0.00052,3.72111,0.81757,5.48843,0.62461,1.29686,0.015,0.69871,0.43482,0.0,0.1128,0.55638,0.0,0.0,0.0,0.49768,0.98613,0.0,0.0
0.45168,0.01118,0.01333,0.93872,0.00067,2.5031,0.63184,6.58092,0.75778,1.57255,0.01545,0.8543,0.4462,0.0,0.09136,0.61366,0.0,0.0,0.0,0.52506,0.83384,0.0,0.0
0.45598,0.00973,0.01085,0.96356,0.00044,3.55806,0.95,7.32131,0.69242,1.02788,0.01824,0.70082,0.39246,0.0,0.11186,0.53168,0.0,0.0,0.0,0.50115,0.64274,0.0,0.0
0.44982,0.00922,0.0104,0.93534,0.00064,3.29993,0.88041,7.21973,0.73728,1.58674,0.01489,0.829,0.36494,0.0,0.11493,0.56784,0.0,0.0,0.0,0.5346,0.86477,0.0,0.0
0.45278,0.01041,0.00974,0.9668,0.00053,3.49695,0.75428,5.74441,0.66714,1.33217,0.01574,0.73534,0.4727,0.0,0.11295,0.56632,0.0,0.0,0.0,0.48998,1.0,0.0,0.0
0.45343,0.00992,0.00951,0.92499,0.00051,3.33794,0.88466,5.91505,0.65277,1.26844,0.01643,0.67871,0.46447,0.0,0.10813,0.59243,0.0,0.0,0.0,0.53597,0.98822,0.0,0.0
0.45358,0.0095,0.00844,0.92584,0.00051,4.05826,0.88158,6.88161,0.7843,1.31321,0.01506,0.63225,0.48046,0.0,0.11744,0.54502,0.0,0.0,0.0,0.44395,0.58251,0.0,0.0
