                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91412,                 63.942,                0.15875,                      0,                      0,                      0,                      0,                0.39356,                 61.606,                0.04675,             0.00050588,             0.00050588,             0.00050588
                      2,                0.47485,                  37.06,                0.06259,                      0,                      0,                      0,                      0,                0.38151,                 26.511,                0.04167,             0.00099555,             0.00099555,             0.00099555
                      3,                0.87939,                 14.169,                0.12426,                      0,                      0,                      0,                      0,                0.39385,                 4.2954,                 0.0392,               0.001465,               0.001465,               0.001465
                      4,                0.66393,                 4.1823,                0.09059,                      0,                      0,                      0,                      0,                0.38538,                 10.869,                0.06478,               0.001881,               0.001881,               0.001881
                      5,                 1.0429,                 1.6714,                0.16451,                      0,                      0,                      0,                      0,                 0.4095,                0.45313,                0.04935,               0.001881,               0.001881,               0.001881
                      6,                 1.1146,                 1.1122,                 0.1714,                      0,                      0,                      0,                      0,                0.36847,                0.29471,                0.04803,              0.0018414,              0.0018414,              0.0018414
                      7,                0.82855,                0.77745,                0.11783,                      0,                      0,                      0,                      0,                0.36884,                0.40803,                0.04319,              0.0018017,              0.0018017,              0.0018017
                      8,                 1.1292,                 1.0644,                0.14612,                      0,                      0,                      0,                      0,                0.37555,                0.39952,                 0.0415,              0.0017621,              0.0017621,              0.0017621
                      9,                 1.2729,                  1.292,                0.18624,                      0,                      0,                      0,                      0,                0.26962,                0.35492,                0.03712,              0.0017224,              0.0017224,              0.0017224
                     10,                 1.1233,                 1.0923,                0.19363,                      0,                      0,                      0,                      0,                0.25064,                0.32997,                0.03457,              0.0016828,              0.0016828,              0.0016828
                     11,                 1.0139,                 0.8788,                0.13504,                      0,                      0,                      0,                      0,                0.24581,                0.25955,                0.03403,              0.0016431,              0.0016431,              0.0016431
                     12,                 1.1536,                 1.2484,                 0.1832,                      0,                      0,                      0,                      0,                0.27065,                0.35792,                0.03515,              0.0016035,              0.0016035,              0.0016035
                     13,                0.78949,                0.82979,                0.10585,                      0,                      0,                      0,                      0,                0.29853,                0.24776,                0.03732,              0.0015638,              0.0015638,              0.0015638
                     14,                 1.0421,                 1.0188,                0.16873,                      0,                      0,                      0,                      0,                0.27054,                 0.2564,                0.03552,              0.0015242,              0.0015242,              0.0015242
                     15,                0.50848,                0.55362,                0.06376,                      0,                      0,                      0,                      0,                0.27358,                0.38993,                0.03524,              0.0014845,              0.0014845,              0.0014845
                     16,                0.82566,                0.85258,                0.12623,                      0,                      0,                      0,                      0,                0.26512,                0.34835,                0.03384,              0.0014449,              0.0014449,              0.0014449
                     17,                0.81192,                0.92622,                0.12312,                      0,                      0,                      0,                      0,                0.24024,                0.25517,                0.03263,              0.0014052,              0.0014052,              0.0014052
                     18,                0.58177,                0.64568,                0.09057,                      0,                      0,                      0,                      0,                0.25578,                 0.3259,                0.03341,              0.0013656,              0.0013656,              0.0013656
                     19,                 1.0651,                 1.1466,                0.14805,                      0,                      0,                      0,                      0,                0.28439,                0.34884,                0.03516,              0.0013259,              0.0013259,              0.0013259
                     20,                0.71622,                0.82422,                0.11846,                      0,                      0,                      0,                      0,                0.28655,                0.37522,                0.04395,              0.0012863,              0.0012863,              0.0012863
                     21,                0.97605,                0.98503,                0.18365,                      0,                      0,                      0,                      0,                0.23637,                0.27501,                  0.033,              0.0012466,              0.0012466,              0.0012466
                     22,                0.85787,                0.80303,                0.10808,                      0,                      0,                      0,                      0,                 0.2327,                0.27279,                0.03635,               0.001207,               0.001207,               0.001207
