fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.17305,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.10899,0.01219,0.01015,0.92137,0.00059,3.50219,0.44008,9.95848,0.67362,1.20646,0.01308,0.7,0.46451,0.0,0.11803,0.37775,0.0,0.0,0.0,0.51692,0.95605,0.0,0.0
0.04854,0.01116,0.01,0.98,0.00054,3.0,0.71218,9.19839,0.50569,1.5,0.01497,0.68428,0.29515,0.0,0.11101,0.47585,0.0,0.0,0.0,0.56957,0.87112,0.0,0.0
0.21038,0.01399,0.01016,0.92345,0.00055,3.50219,0.44388,10.70579,0.56645,1.26694,0.01308,0.7,0.46109,0.0,0.11803,0.37775,0.0,0.0,0.0,0.54261,0.89054,0.0,0.0
6e-05,0.00889,0.00728,0.92712,0.00045,3.25892,0.8,6.97765,0.53001,1.30871,0.01846,0.79949,0.34397,0.0,0.1,0.5,0.0,0.0,0.0,0.53155,1.0,0.0,0.0
1e-05,0.01549,0.00916,0.92321,0.00053,3.66847,0.45177,10.42127,0.56645,1.17976,0.01277,0.73123,0.50515,0.0,0.11051,0.37775,0.0,0.0,0.0,0.55997,0.96644,0.0,0.0
0.0,0.01708,0.01065,0.91341,0.0006,3.76884,0.51628,9.66164,0.59519,1.64282,0.00994,0.7,0.45703,0.0,0.07681,0.36979,0.0,0.0,0.0,0.5149,0.81329,0.0,0.0
0.0101,0.01109,0.01058,0.97107,0.00072,3.39441,0.4331,10.12469,0.69557,1.20646,0.01452,0.65553,0.46315,0.0,0.11853,0.21863,0.0,0.0,0.0,0.44013,0.95963,0.0,0.0
0.0,0.01226,0.01086,0.88519,0.00055,3.50219,0.38395,10.70579,0.64813,1.14073,0.0112,0.70325,0.48928,0.0,0.11803,0.37775,0.0,0.0,0.0,0.54261,0.88664,0.0,0.0
0.11904,0.01313,0.01016,0.82679,0.00075,3.72486,0.32846,10.89766,0.44092,0.9159,0.01296,0.7297,0.54726,0.0,0.10472,0.37775,0.0,0.0,0.0,0.53717,0.65404,0.0,0.0
0.0,0.01,0.01009,0.937,0.0005,3.0,0.79343,7.46616,0.4967,1.50286,0.01498,0.69763,0.39568,0.0,0.10026,0.50388,0.0,0.0,0.0,0.49872,0.99839,0.0,0.0
0.0,0.01399,0.01014,0.92345,0.00055,3.49015,0.44073,10.56846,0.56645,1.26694,0.0132,0.70442,0.46283,0.0,0.11827,0.37842,0.0,0.0,0.0,0.53889,0.8853,0.0,0.0
0.09399,0.01399,0.00986,0.90861,0.00055,3.38684,0.43447,11.22648,0.58946,1.25236,0.01384,0.65643,0.41564,0.0,0.12134,0.37775,0.0,0.0,0.0,0.54261,0.89054,0.0,0.0
0.15315,0.01056,0.01,0.95791,0.00041,3.0883,0.76892,8.63161,0.40266,1.5,0.01832,0.7,0.43416,0.0,0.12316,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.17672,0.01,0.00886,0.88868,0.00044,3.06337,0.73679,9.27484,0.67865,1.28931,0.01659,0.60416,0.41802,0.0,0.08754,0.6872,0.0,0.0,0.0,0.52466,0.81148,0.0,0.0
0.0,0.00616,0.00854,0.88323,0.00044,2.91915,0.73679,10.92565,0.45863,1.28931,0.0174,0.56383,0.43107,0.0,0.11788,0.6872,0.0,0.0,0.0,0.52466,1.0,0.0,0.0
0.0,0.01399,0.00989,0.92345,0.00056,3.43632,0.42957,10.70579,0.56645,1.29507,0.01308,0.71973,0.45738,0.0,0.11605,0.36817,0.0,0.0,0.0,0.54261,0.88607,0.0,0.0
0.14208,0.01399,0.01059,0.92353,0.00055,3.50219,0.43915,9.79101,0.6022,1.41035,0.01434,0.69341,0.45063,0.0,0.1184,0.37775,0.0,0.0,0.0,0.52699,0.82155,0.0,0.0
0.23408,0.01497,0.01016,0.93262,0.0005,3.97754,0.44388,12.32821,0.56645,1.21452,0.01079,0.69022,0.52527,0.0,0.07819,0.41765,0.0,0.0,0.0,0.60718,0.8542,0.0,0.0
0.13152,0.02005,0.00894,0.86265,0.00055,2.57636,0.30291,12.3066,0.56645,1.21703,0.01244,0.67664,0.47158,0.0,0.07296,0.41765,0.0,0.0,0.0,0.64206,0.91378,0.0,0.0
0.0,0.01045,0.01016,0.93262,0.00046,3.72944,0.4223,14.00474,0.61548,1.75915,0.00871,0.60204,0.52734,0.0,0.06948,0.33936,0.0,0.0,0.0,0.5381,0.8542,0.0,0.0
0.06743,0.01361,0.00988,0.92345,0.00067,3.57562,0.41238,8.62308,0.47431,1.26694,0.01128,0.6709,0.4598,0.0,0.11563,0.30924,0.0,0.0,0.0,0.59377,0.83482,0.0,0.0
0.18825,0.00962,0.00743,0.88169,0.00048,2.67974,0.73155,9.54184,0.66306,1.21386,0.01745,0.67902,0.44192,0.0,0.0841,0.70672,0.0,0.0,0.0,0.4682,0.81148,0.0,0.0
0.0,0.01547,0.01003,0.93262,0.00046,3.92612,0.44388,13.66648,0.54345,1.21081,0.01182,0.69022,0.52527,0.0,0.07607,0.35455,0.0,0.0,0.0,0.64058,0.79817,0.0,0.0
0.17572,0.01497,0.01016,0.933,0.0005,3.97754,0.44405,12.35662,0.56645,1.21452,0.01076,0.68911,0.52636,0.0,0.07819,0.4174,0.0,0.0,0.0,0.60684,0.85182,0.0,0.0
0.19672,0.01638,0.01077,0.93262,0.00048,4.12424,0.39229,11.49235,0.59828,1.53433,0.01079,0.71764,0.54742,0.0,0.08722,0.44081,0.0,0.0,0.0,0.60718,0.94291,0.0,0.0
0.27286,0.01499,0.00972,0.93308,0.0005,3.97754,0.44388,12.10794,0.58114,1.13794,0.00982,0.6557,0.48654,0.0,0.07819,0.40724,0.0,0.0,0.0,0.60157,0.95921,0.0,0.0
0.12672,0.01499,0.00972,0.94609,0.00049,3.77886,0.44105,12.10794,0.58114,1.19417,0.00982,0.64436,0.50993,0.0,0.08012,0.41229,0.0,0.0,0.0,0.59638,1.0,0.0,0.0
0.24113,0.01632,0.00959,0.94281,0.00051,4.40568,0.44388,11.27297,0.56764,1.14145,0.00982,0.6557,0.47671,0.0,0.07873,0.40724,0.0,0.0,0.0,0.59992,0.99696,0.0,0.0
0.12429,0.01239,0.01096,0.97978,0.0005,3.3671,0.44388,12.90856,0.45888,1.19909,0.01079,0.76653,0.48734,0.0,0.06933,0.41765,0.0,0.0,0.0,0.48542,0.84622,0.0,0.0
0.24866,0.01626,0.01004,0.91088,0.0005,4.26879,0.49478,12.82285,0.4384,1.21452,0.01079,0.59714,0.64995,0.0,0.06447,0.42646,0.0,0.0,0.0,0.50278,0.80281,0.0,0.0
0.0588,0.01822,0.00918,0.94282,0.00046,4.57329,0.59623,11.2184,0.42757,1.1674,0.01079,0.59714,0.75474,0.0,0.06484,0.50147,0.0,0.0,0.0,0.54546,0.80281,0.0,0.0
0.24275,0.01162,0.01088,0.96394,0.0005,4.31114,0.42209,14.55844,0.58114,1.56235,0.00982,0.58936,0.45639,0.0,0.07869,0.32878,0.0,0.0,0.0,0.53461,1.0,0.0,0.0
