                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3823,                 6.1359,                 1.4248,                0.06709,                0.54623,                0.04782,                 0.0137,                 2.4098,                 24.688,                 1.3301,             0.00065574,             0.00065574,             0.00065574
                      2,                 2.0274,                 2.3004,                 1.2865,                0.52123,                0.22515,                0.21674,                0.05362,                 2.7324,                 4.1475,                 1.7142,              0.0013191,              0.0013191,              0.0013191
                      3,                 1.9789,                 2.1301,                  1.244,                0.00605,                0.32603,                0.00349,                0.00115,                 2.5111,                    inf,                  1.423,              0.0019792,              0.0019792,              0.0019792
                      4,                 1.9334,                 2.0605,                 1.2494,                0.52123,                 0.4066,                0.40579,                0.12491,                 2.5669,                 2.4494,                 1.4945,              0.0019852,              0.0019852,              0.0019852
                      5,                 1.9875,                 2.1189,                 1.2583,                0.09515,                 0.1837,                0.11249,                0.03777,                 3.2506,                 4.7974,                 2.0589,              0.0019852,              0.0019852,              0.0019852
                      6,                 1.9045,                 2.0375,                  1.241,                 0.0172,                0.40268,                0.01003,                 0.0027,                 2.9063,                    inf,                 1.7563,              0.0019802,              0.0019802,              0.0019802
                      7,                  1.947,                 2.1012,                 1.2459,                0.44618,                0.52042,                0.38948,                0.10243,                 2.5867,                  2.626,                 1.4296,              0.0019753,              0.0019753,              0.0019753
                      8,                 1.9067,                 1.9455,                 1.2342,                0.44527,                 0.5219,                0.40026,                0.09934,                 2.6062,                  2.159,                 1.4091,              0.0019703,              0.0019703,              0.0019703
                      9,                 1.9155,                  1.937,                 1.2701,                0.55554,                0.60949,                0.54105,                0.15264,                 2.4974,                  1.885,                 1.4092,              0.0019654,              0.0019654,              0.0019654
                     10,                 1.8649,                 1.8659,                   1.23,                  0.509,                0.47797,                0.36427,                0.07472,                 2.8172,                 2.0261,                  1.465,              0.0019604,              0.0019604,              0.0019604
                     11,                 1.8672,                 1.8922,                 1.2445,                0.52044,                0.57432,                0.51744,                0.16389,                 2.3323,                 1.9061,                 1.2979,              0.0019555,              0.0019555,              0.0019555
                     12,                 1.8689,                 1.8624,                 1.2178,                0.54358,                0.48662,                0.44538,                0.10918,                 2.5953,                 1.9682,                 1.3942,              0.0019505,              0.0019505,              0.0019505
                     13,                 1.8215,                 1.8395,                 1.1722,                0.56342,                0.53694,                0.48256,                  0.127,                  2.621,                 2.2322,                 1.4468,              0.0019456,              0.0019456,              0.0019456
                     14,                 1.8401,                 1.8059,                 1.1998,                0.55774,                0.56448,                0.50334,                0.13872,                 2.6263,                 2.0919,                 1.4484,              0.0019406,              0.0019406,              0.0019406
                     15,                 1.8683,                 1.8579,                 1.2342,                 0.5884,                0.55353,                0.50637,                0.12609,                    2.5,                 1.9367,                 1.3456,              0.0019357,              0.0019357,              0.0019357
                     16,                 1.8029,                 1.7876,                 1.2141,                0.58451,                0.53771,                0.51658,                0.15296,                 2.3942,                 1.8421,                 1.3295,              0.0019307,              0.0019307,              0.0019307
                     17,                 1.8112,                 1.7987,                 1.1886,                0.58559,                0.45742,                0.44592,                0.11093,                 2.5825,                  1.783,                 1.3568,              0.0019258,              0.0019258,              0.0019258
                     18,                 1.8153,                 1.7463,                 1.1912,                0.56761,                 0.5292,                0.48672,                0.11702,                 2.7091,                 2.2569,                  1.468,              0.0019208,              0.0019208,              0.0019208
                     19,                 1.8126,                 1.7935,                 1.2031,                0.61021,                0.57056,                0.53671,                0.15867,                 2.3576,                 1.8482,                 1.3016,              0.0019159,              0.0019159,              0.0019159
                     20,                   1.79,                 1.7928,                 1.1842,                0.62383,                0.56326,                0.56484,                0.15172,                 2.5024,                 1.6563,                 1.3345,              0.0019109,              0.0019109,              0.0019109
                     21,                 1.7832,                 1.8163,                 1.1888,                0.58059,                0.50122,                0.49777,                0.14198,                 2.5994,                 1.6884,                  1.419,               0.001906,               0.001906,               0.001906
                     22,                 1.7972,                 1.8261,                 1.1797,                0.64205,                0.61314,                0.60258,                0.18508,                 2.3174,                 1.7231,                 1.2897,               0.001901,               0.001901,               0.001901
                     23,                 1.8063,                 1.7709,                 1.1804,                0.50234,                 0.5073,                0.40388,                0.08529,                 2.6539,                 2.5208,                  1.377,              0.0018961,              0.0018961,              0.0018961
                     24,                 1.7682,                 1.7143,                 1.1837,                0.58636,                0.57908,                0.52589,                0.13025,                 2.5608,                  1.778,                 1.3666,              0.0018911,              0.0018911,              0.0018911
                     25,                 1.8135,                 1.7528,                 1.2092,                0.65475,                0.60097,                0.60009,                0.18143,                  2.383,                 1.8332,                 1.3404,              0.0018862,              0.0018862,              0.0018862
                     26,                 1.7412,                 1.6727,                 1.1611,                0.61935,                0.61165,                0.56357,                0.14631,                  2.537,                 1.7061,                 1.3925,              0.0018812,              0.0018812,              0.0018812
                     27,                 1.7712,                 1.7246,                 1.1673,                0.60341,                0.56824,                0.52321,                0.14827,                 2.3319,                  1.722,                 1.2604,              0.0018763,              0.0018763,              0.0018763
                     28,                 1.7826,                 1.7327,                 1.1829,                0.67966,                0.63869,                 0.6348,                0.23761,                 2.0772,                 1.5308,                 1.2172,              0.0018713,              0.0018713,              0.0018713
                     29,                 1.7839,                 1.7543,                 1.1729,                0.60109,                0.56569,                0.57624,                0.18005,                 2.3983,                 1.7566,                 1.3744,              0.0018663,              0.0018663,              0.0018663
                     30,                 1.7277,                 1.6467,                 1.1745,                0.65925,                0.59976,                 0.5907,                0.16278,                 2.4861,                 1.7884,                 1.3609,              0.0018614,              0.0018614,              0.0018614
