fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.0,0.01,0.00901,0.90529,0.00043,3.00773,0.86408,7.12562,0.57004,1.73285,0.01254,0.60637,0.432,0.0,0.1,0.57861,0.0,0.0,0.0,0.51816,1.0,0.0,0.0
0.0,0.01014,0.01,0.92686,0.00043,2.9045,0.94179,7.27477,0.54063,1.5555,0.01612,0.74965,0.4,0.0,0.10424,0.43712,0.0,0.0,0.0,0.49216,0.96377,0.0,0.0
0.0,0.01,0.01045,0.93589,0.00043,3.53612,0.6792,8.17942,0.57004,1.57876,0.01166,0.67978,0.4202,0.0,0.13146,0.53975,0.0,0.0,0.0,0.39729,1.0,0.0,0.0
0.0,0.01,0.00764,0.93458,0.00035,2.68445,0.89167,7.65485,0.4563,1.80742,0.01707,0.60092,0.39631,0.0,0.11495,0.5086,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.0,0.01003,0.00764,0.94231,0.00036,2.68445,0.89167,6.83762,0.37501,1.80742,0.01707,0.7086,0.39631,0.0,0.11495,0.57071,0.0,0.0,0.0,0.49562,0.84964,0.0,0.0
0.0,0.01,0.01045,0.88757,0.00043,3.30994,0.81105,7.23813,0.53354,1.59965,0.01232,0.42126,0.28139,0.0,0.13417,0.60531,0.0,0.0,0.0,0.39729,1.0,0.0,0.0
0.0,0.01,0.00764,0.93488,0.00035,2.68445,0.89081,7.65485,0.45341,1.80742,0.01718,0.6005,0.39908,0.0,0.11519,0.50854,0.0,0.0,0.0,0.49863,0.98899,0.0,0.0
0.0,0.00986,0.00773,0.94047,0.00035,2.68628,0.90446,7.65485,0.4563,1.80921,0.01707,0.60092,0.39726,0.0,0.11495,0.5086,0.0,0.0,0.0,0.50682,1.0,0.0,0.0
0.0,0.01,0.01045,0.93589,0.00045,3.61581,0.64677,8.28317,0.57004,1.57876,0.01184,0.67978,0.43881,0.0,0.12875,0.5324,0.0,0.0,0.0,0.39729,1.0,0.0,0.0
0.0,0.00977,0.00753,0.93458,0.00035,2.77455,0.8986,7.52768,0.45259,1.89508,0.01708,0.61554,0.41639,0.0,0.11231,0.5048,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.0,0.0124,0.01372,0.84475,0.00043,2.57442,0.63951,8.17942,0.59339,2.10881,0.01129,0.51155,0.42201,0.0,0.13146,0.60589,0.0,0.0,0.0,0.47205,0.99548,0.0,0.0
