                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.232,                 5.5931,                 1.2986,                0.85525,                0.02157,                0.05232,                0.01412,                  2.283,                 5.5055,                 1.2252,             0.00065574,             0.00065574,             0.00065574
                      2,                 1.8759,                 3.3584,                 1.1584,                0.51364,                0.26724,                0.29998,                0.09422,                 2.2921,                 3.2338,                 1.3301,              0.0013191,              0.0013191,              0.0013191
                      3,                 1.9029,                 2.6666,                 1.1931,                0.45558,                0.43917,                0.31584,                0.07098,                 2.7798,                 2.7756,                 1.6248,              0.0019792,              0.0019792,              0.0019792
                      4,                 1.9475,                 2.2107,                 1.1792,                0.55015,                0.53893,                0.47716,                0.14956,                 2.2877,                 2.0585,                 1.3304,              0.0019852,              0.0019852,              0.0019852
                      5,                 1.8797,                 1.9399,                 1.2024,                 0.5407,                0.50973,                0.47114,                0.13399,                 2.4455,                 2.0259,                 1.3511,              0.0019852,              0.0019852,              0.0019852
                      6,                 1.8421,                 1.8562,                 1.1672,                0.54593,                0.46805,                0.41816,                0.10436,                 2.7005,                 1.9063,                 1.4593,              0.0019802,              0.0019802,              0.0019802
                      7,                 1.8431,                 1.7046,                 1.1679,                0.61153,                0.47567,                0.48766,                0.12373,                 2.6055,                 1.7988,                 1.4529,              0.0019753,              0.0019753,              0.0019753
                      8,                 1.7749,                 1.6334,                 1.1745,                0.58561,                0.51217,                0.50506,                0.16323,                 2.3897,                 1.6006,                  1.334,              0.0019703,              0.0019703,              0.0019703
                      9,                 1.7935,                 1.6128,                 1.1751,                0.57533,                0.50433,                0.46888,                0.11481,                 2.6738,                 1.8216,                 1.4396,              0.0019654,              0.0019654,              0.0019654
                     10,                 1.7772,                 1.6358,                  1.168,                0.55043,                0.55231,                0.52587,                0.13561,                 2.4367,                 2.0826,                 1.3326,              0.0019604,              0.0019604,              0.0019604
                     11,                 1.7716,                 1.5685,                 1.1629,                0.57212,                0.50852,                 0.4972,                 0.1536,                 2.3548,                 1.9824,                 1.2664,              0.0019555,              0.0019555,              0.0019555
                     12,                 1.7449,                 1.5595,                 1.1119,                0.57581,                0.58637,                0.57196,                 0.2067,                 2.2546,                  1.824,                 1.2997,              0.0019505,              0.0019505,              0.0019505
                     13,                 1.7676,                 1.5473,                 1.1797,                0.66058,                0.60612,                0.63767,                0.21268,                 2.3117,                 1.4612,                 1.3361,              0.0019456,              0.0019456,              0.0019456
                     14,                 1.7341,                 1.4824,                 1.1576,                0.59946,                0.58516,                0.55556,                0.16356,                 2.3973,                 1.6681,                 1.3486,              0.0019406,              0.0019406,              0.0019406
                     15,                 1.6974,                  1.442,                 1.1383,                0.64107,                0.60827,                0.61604,                0.21142,                 2.2952,                 1.5534,                 1.3403,              0.0019357,              0.0019357,              0.0019357
